"","targ","part_id","task"
"538","ku","blast_a_002","ssl"
"539","3A","blast_a_002","tsl"
"540","pi","blast_a_003","ssl"
"541","2A","blast_a_003","tsl"
"542","alien13","blast_a_003","vsl"
"543","pi","blast_a_004","ssl"
"544","2A","blast_a_004","tsl"
"545","alien24","blast_a_004","vsl"
"546","pi","blast_a_005","ssl"
"547","2A","blast_a_005","tsl"
"548","alien20","blast_a_005","vsl"
"549","ku","blast_a_006","ssl"
"550","3A","blast_a_006","tsl"
"551","alien20","blast_a_006","vsl"
"552","tu","blast_a_007","ssl"
"553","2A","blast_a_007","tsl"
"554","alien20","blast_a_007","vsl"
"555","ku","blast_a_008","ssl"
"556","3A","blast_a_008","tsl"
"557","alien24","blast_a_008","vsl"
"558","pi","blast_a_009","ssl"
"559","2A","blast_a_009","tsl"
"560","alien20","blast_a_009","vsl"
"561","pi","blast_a_010","ssl"
"562","2A","blast_a_010","tsl"
"563","alien17","blast_a_010","vsl"
"564","do","blast_a_011","ssl"
"565","2A","blast_a_011","tsl"
"566","alien24","blast_a_011","vsl"
"567","2A","blast_a_012","tsl"
"568","tu","blast_a_013","ssl"
"569","2A","blast_a_013","tsl"
"570","alien24","blast_a_013","vsl"
"571","ku","blast_a_014","ssl"
"572","3A","blast_a_014","tsl"
"573","alien17","blast_a_014","vsl"
"574","pi","blast_a_015","ssl"
"575","2A","blast_a_015","tsl"
"576","alien17","blast_a_015","vsl"
"577","tu","blast_a_016","ssl"
"578","2A","blast_a_016","tsl"
"579","alien17","blast_a_016","vsl"
"580","tu","blast_a_017","ssl"
"581","3A","blast_a_017","tsl"
"582","alien13","blast_a_017","vsl"
"583","tu","blast_a_018","ssl"
"584","2A","blast_a_018","tsl"
"585","alien13","blast_a_018","vsl"
"586","do","blast_a_019","ssl"
"587","2A","blast_a_019","tsl"
"588","alien17","blast_a_019","vsl"
"589","2A","blast_a_020","tsl"
"590","alien20","blast_a_020","vsl"
"591","do","blast_a_021","ssl"
"592","3A","blast_a_021","tsl"
"593","alien20","blast_a_021","vsl"
"594","ku","blast_a_022","ssl"
"595","2A","blast_a_022","tsl"
"596","alien13","blast_a_022","vsl"
"597","tu","blast_a_023","ssl"
"598","2A","blast_a_023","tsl"
"599","alien17","blast_a_023","vsl"
"600","tu","blast_a_024","ssl"
"601","3A","blast_a_024","tsl"
"602","alien13","blast_a_024","vsl"
"603","pi","blast_a_025","ssl"
"604","H","blast_a_026","lsl"
"605","tu","blast_a_026","ssl"
"606","2A","blast_a_026","tsl"
