"","id","task","trial","reaction_time","targ_index","group","gender","age_at_web_month","age_at_web_year","hit_trial_n","sl_aprime","domain","modality","scaled_rt","mean_rt","rt_slope_raw","initial_rt"
"177","blast_a_002","tsl",586,143.809523809466,48,"adult","F",224,18.6666666666667,38,0.903180789216443,"nonling","auditory",-0.675613449645592,268.741,1.448,268.741
"178","blast_a_002","tsl",505,352.78911564626,40,"adult","F",224,18.6666666666667,38,0.903180789216443,"nonling","auditory",0.454522368913103,268.741,1.448,268.741
"179","blast_a_002","tsl",517,317.959183673452,41,"adult","F",224,18.6666666666667,38,0.903180789216443,"nonling","auditory",0.266166399153272,268.741,1.448,268.741
"180","blast_a_002","tsl",532,230.884353741487,43,"adult","F",224,18.6666666666667,38,0.903180789216443,"nonling","auditory",-0.204723525246009,268.741,1.448,268.741
"181","blast_a_002","tsl",541,248.299319727835,44,"adult","F",224,18.6666666666667,38,0.903180789216443,"nonling","auditory",-0.110545540366396,268.741,1.448,268.741
"182","blast_a_002","tsl",553,391.609977324247,45,"adult","F",224,18.6666666666667,38,0.903180789216443,"nonling","auditory",0.664460793541039,268.741,1.448,268.741
"183","blast_a_002","tsl",568,294.739229024913,46,"adult","F",224,18.6666666666667,38,0.903180789216443,"nonling","auditory",0.140595752646716,268.741,1.448,268.741
"184","blast_a_002","tsl",574,588.979591836714,47,"adult","F",224,18.6666666666667,38,0.903180789216443,"nonling","auditory",1.73181128884615,268.741,1.448,268.741
"253","blast_a_003","tsl",247,-477.99999999999,18,"adult","F",232,19.3333333333333,28,0.81446608946609,"nonling","auditory",-1.43323959041747,129.75,9.643,129.75
"254","blast_a_003","tsl",211,158.999999999992,15,"adult","F",232,19.3333333333333,28,0.81446608946609,"nonling","auditory",0.0689794455281205,129.75,9.643,129.75
"255","blast_a_003","tsl",322,871.000000000001,25,"adult","F",232,19.3333333333333,28,0.81446608946609,"nonling","auditory",1.74806885462279,129.75,9.643,129.75
"256","blast_a_003","tsl",328,-290.000000000002,26,"adult","F",232,19.3333333333333,28,0.81446608946609,"nonling","auditory",-0.989884521723968,129.75,9.643,129.75
"257","blast_a_003","tsl",259,491.000000000024,19,"adult","F",232,19.3333333333333,28,0.81446608946609,"nonling","auditory",0.851925630667835,129.75,9.643,129.75
"258","blast_a_003","tsl",346,-180.000000000045,28,"adult","F",232,19.3333333333333,28,0.81446608946609,"nonling","auditory",-0.730474641105514,129.75,9.643,129.75
"259","blast_a_003","tsl",235,-157.999999999997,17,"adult","F",232,19.3333333333333,28,0.81446608946609,"nonling","auditory",-0.67859266498169,129.75,9.643,129.75
"260","blast_a_003","tsl",370,-100.000000000023,30,"adult","F",232,19.3333333333333,28,0.81446608946609,"nonling","auditory",-0.541812909746513,129.75,9.643,129.75
"261","blast_a_003","tsl",382,-11.0000000000241,31,"adult","F",232,19.3333333333333,28,0.81446608946609,"nonling","auditory",-0.331926733609685,129.75,9.643,129.75
"262","blast_a_003","tsl",403,179.99999999995,33,"adult","F",232,19.3333333333333,28,0.81446608946609,"nonling","auditory",0.118503150009746,129.75,9.643,129.75
"263","blast_a_003","tsl",418,-290.999999999979,34,"adult","F",232,19.3333333333333,28,0.81446608946609,"nonling","auditory",-0.992242793365901,129.75,9.643,129.75
"264","blast_a_003","tsl",469,-60.0000000000023,38,"adult","F",232,19.3333333333333,28,0.81446608946609,"nonling","auditory",-0.44748204406699,129.75,9.643,129.75
"265","blast_a_003","tsl",478,411.99999999996,39,"adult","F",232,19.3333333333333,28,0.81446608946609,"nonling","auditory",0.665622170950722,129.75,9.643,129.75
"266","blast_a_003","tsl",484,721.999999999962,40,"adult","F",232,19.3333333333333,28,0.81446608946609,"nonling","auditory",1.39668637996666,129.75,9.643,129.75
"267","blast_a_003","tsl",499,559.000000000008,41,"adult","F",232,19.3333333333333,28,0.81446608946609,"nonling","auditory",1.0122881023229,129.75,9.643,129.75
"268","blast_a_003","tsl",511,480.999999999976,42,"adult","F",232,19.3333333333333,28,0.81446608946609,"nonling","auditory",0.828342914247853,129.75,9.643,129.75
"269","blast_a_003","tsl",556,419.999999999941,45,"adult","F",232,19.3333333333333,28,0.81446608946609,"nonling","auditory",0.684488344086572,129.75,9.643,129.75
"270","blast_a_003","tsl",199,-100.000000000005,14,"adult","F",232,19.3333333333333,28,0.81446608946609,"nonling","auditory",-0.541812909746471,129.75,9.643,129.75
"271","blast_a_003","tsl",37,519.000000000001,1,"adult","F",232,19.3333333333333,28,0.81446608946609,"nonling","auditory",0.917957236643413,129.75,9.643,129.75
"272","blast_a_003","tsl",67,-439.999999999994,4,"adult","F",232,19.3333333333333,28,0.81446608946609,"nonling","auditory",-1.34362526802198,129.75,9.643,129.75
"273","blast_a_003","tsl",46,-419.999999999984,2,"adult","F",232,19.3333333333333,28,0.81446608946609,"nonling","auditory",-1.29645983518222,129.75,9.643,129.75
"274","blast_a_003","tsl",271,350.999999999999,20,"adult","F",232,19.3333333333333,28,0.81446608946609,"nonling","auditory",0.521767600789615,129.75,9.643,129.75
"275","blast_a_003","tsl",295,590.000000000014,22,"adult","F",232,19.3333333333333,28,0.81446608946609,"nonling","auditory",1.08539452322451,129.75,9.643,129.75
"276","blast_a_003","tsl",301,-452.000000000008,23,"adult","F",232,19.3333333333333,28,0.81446608946609,"nonling","auditory",-1.37192452772585,129.75,9.643,129.75
"277","blast_a_003","tsl",310,780.000000000011,24,"adult","F",232,19.3333333333333,28,0.81446608946609,"nonling","auditory",1.53346613520201,129.75,9.643,129.75
"278","blast_a_003","tsl",595,557.999999999975,48,"adult","F",232,19.3333333333333,28,0.81446608946609,"nonling","auditory",1.00992983068084,129.75,9.643,129.75
"279","blast_a_003","tsl",361,-361.000000000029,29,"adult","F",232,19.3333333333333,28,0.81446608946609,"nonling","auditory",-1.1573218083051,129.75,9.643,129.75
"280","blast_a_003","tsl",580,-119.00000000001,47,"adult","F",232,19.3333333333333,28,0.81446608946609,"nonling","auditory",-0.586620070944233,129.75,9.643,129.75
