"","par_id","mean_rt","scaled_rt_slope","task"
"142","blast_a_013",309.458,"-0.122","adult_vsl_indiv_rts"
"143","blast_a_014",569.333,"0.032","adult_vsl_indiv_rts"
"144","blast_a_015",507.583,"-0.041","adult_vsl_indiv_rts"
"145","blast_a_016",656.522,"-0.027","adult_vsl_indiv_rts"
"146","blast_a_017",364.348,"0.005","adult_vsl_indiv_rts"
"147","blast_a_018",476.333,"-0.11","adult_vsl_indiv_rts"
"148","blast_a_019",439.417,"0.007","adult_vsl_indiv_rts"
"149","blast_a_020",518.125,"0.013","adult_vsl_indiv_rts"
"150","blast_a_021",476.417,"0.008","adult_vsl_indiv_rts"
"151","blast_a_022",519.208,"-0.051","adult_vsl_indiv_rts"
"152","blast_a_023",585.417,"0.04","adult_vsl_indiv_rts"
"153","blast_a_024",499.208,"-0.077","adult_vsl_indiv_rts"
"154","blast_a_026",493.75,"-0.044","adult_vsl_indiv_rts"
"155","blast_a_027",534,"-0.046","adult_vsl_indiv_rts"
"156","blast_a_028",644.833,"0.052","adult_vsl_indiv_rts"
"157","blast_a_030",430.952,"0.004","adult_vsl_indiv_rts"
"158","blast_a_032",629,"-0.013","adult_vsl_indiv_rts"
"159","blast_a_035",355.417,"-0.124","adult_vsl_indiv_rts"
"160","blast_a_038",409.167,"-0.06","adult_vsl_indiv_rts"
"161","blast_a_039",382.696,"-0.004","adult_vsl_indiv_rts"
"162","blast_a_040",535.708,"0.014","adult_vsl_indiv_rts"
"163","blast_a_042",500.667,"0.057","adult_vsl_indiv_rts"
"164","blast_a_043",504.708,"0","adult_vsl_indiv_rts"
"165","blast_a_044",378.417,"-0.004","adult_vsl_indiv_rts"
"166","blast_a_045",389.583,"-0.097","adult_vsl_indiv_rts"
"167","blast_a_046",489.792,"0.056","adult_vsl_indiv_rts"
"168","blast_a_047",425.958,"-0.007","adult_vsl_indiv_rts"
"169","blast_a_048",521.167,"0.019","adult_vsl_indiv_rts"
"170","blast_a_049",506.083,"0.021","adult_vsl_indiv_rts"
"171","blast_a_050",392.583,"-0.12","adult_vsl_indiv_rts"
"172","blast_a_052",572.167,"-0.011","adult_vsl_indiv_rts"
