soundFile,word,location,repetition,trialnum,condition,fam_trials_loop.thisRepN,fam_trials_loop.thisTrialN,fam_trials_loop.thisN,fam_trials_loop.thisIndex,trials_1.thisRepN,trials_1.thisTrialN,trials_1.thisN,trials_1.thisIndex,sound_block_key_resp.keys,sound_block_key_resp.rt,tone_block_key_resp.keys,tone_block_key_resp.rt,starget,Run,PartID,frameRate,ttarget,expName,date,
silence.wav,0,0,0,0,B,0,105,105,105,,,,,None,,,,pu,3,blast_a_022,61.0810000015,1C,auditory,2018_Sep_24_1812,
silence.wav,0,0,0,0,B,0,106,106,106,,,,,None,,,,pu,3,blast_a_022,61.0810000015,1C,auditory,2018_Sep_24_1812,
silence.wav,0,0,0,0,B,0,107,107,107,,,,,None,,,,pu,3,blast_a_022,61.0810000015,1C,auditory,2018_Sep_24_1812,
silence.wav,0,0,0,0,B,0,108,108,108,,,,,None,,,,pu,3,blast_a_022,61.0810000015,1C,auditory,2018_Sep_24_1812,
silence.wav,0,0,0,0,B,0,109,109,109,,,,,None,,,,pu,3,blast_a_022,61.0810000015,1C,auditory,2018_Sep_24_1812,
silence.wav,0,0,0,0,B,0,110,110,110,,,,,None,,,,pu,3,blast_a_022,61.0810000015,1C,auditory,2018_Sep_24_1812,
silence.wav,0,0,0,0,B,0,111,111,111,,,,,None,,,,pu,3,blast_a_022,61.0810000015,1C,auditory,2018_Sep_24_1812,
silence.wav,0,0,0,0,B,0,112,112,112,,,,,None,,,,pu,3,blast_a_022,61.0810000015,1C,auditory,2018_Sep_24_1812,
silence.wav,0,0,0,0,B,0,113,113,113,,,,,None,,,,pu,3,blast_a_022,61.0810000015,1C,auditory,2018_Sep_24_1812,
silence.wav,0,0,0,0,B,0,114,114,114,,,,,None,,,,pu,3,blast_a_022,61.0810000015,1C,auditory,2018_Sep_24_1812,
silence.wav,0,0,0,0,B,0,115,115,115,,,,,None,,,,pu,3,blast_a_022,61.0810000015,1C,auditory,2018_Sep_24_1812,
silence.wav,0,0,0,0,B,0,116,116,116,,,,,None,,,,pu,3,blast_a_022,61.0810000015,1C,auditory,2018_Sep_24_1812,
silence.wav,0,0,0,0,B,0,117,117,117,,,,,None,,,,pu,3,blast_a_022,61.0810000015,1C,auditory,2018_Sep_24_1812,
silence.wav,0,0,0,0,B,0,118,118,118,,,,,None,,,,pu,3,blast_a_022,61.0810000015,1C,auditory,2018_Sep_24_1812,
silence.wav,0,0,0,0,B,0,119,119,119,,,,,None,,,,pu,3,blast_a_022,61.0810000015,1C,auditory,2018_Sep_24_1812,
silence.wav,0,0,0,0,B,0,120,120,120,,,,,None,,,,pu,3,blast_a_022,61.0810000015,1C,auditory,2018_Sep_24_1812,
silence.wav,0,0,0,0,B,0,121,121,121,,,,,None,,,,pu,3,blast_a_022,61.0810000015,1C,auditory,2018_Sep_24_1812,
silence.wav,0,0,0,0,B,0,122,122,122,,,,,None,,,,pu,3,blast_a_022,61.0810000015,1C,auditory,2018_Sep_24_1812,
silence.wav,0,0,0,0,B,0,123,123,123,,,,,None,,,,pu,3,blast_a_022,61.0810000015,1C,auditory,2018_Sep_24_1812,
silence.wav,0,0,0,0,B,0,124,124,124,,,,,None,,,,pu,3,blast_a_022,61.0810000015,1C,auditory,2018_Sep_24_1812,
3A.wav,1,1,1,1,S,,,,,0,0,0,0,,,None,,pu,3,blast_a_022,61.0810000015,1C,auditory,2018_Sep_24_1812,
3B.wav,1,2,1,2,S,,,,,0,1,1,1,,,4,0.0748329162598,pu,3,blast_a_022,61.0810000015,1C,auditory,2018_Sep_24_1812,
3C.wav,1,3,1,3,S,,,,,0,2,2,2,,,4,0.455332040787,pu,3,blast_a_022,61.0810000015,1C,auditory,2018_Sep_24_1812,
1A.wav,2,1,1,4,S,,,,,0,3,3,3,,,None,,pu,3,blast_a_022,61.0810000015,1C,auditory,2018_Sep_24_1812,
1B.wav,2,2,1,5,S,,,,,0,4,4,4,,,None,,pu,3,blast_a_022,61.0810000015,1C,auditory,2018_Sep_24_1812,
1C.wav,2,3,1,6,S,,,,,0,5,5,5,,,4,0.322023153305,pu,3,blast_a_022,61.0810000015,1C,auditory,2018_Sep_24_1812,
4A.wav,3,1,1,7,S,,,,,0,6,6,6,,,None,,pu,3,blast_a_022,61.0810000015,1C,auditory,2018_Sep_24_1812,
4B.wav,3,2,1,8,S,,,,,0,7,7,7,,,None,,pu,3,blast_a_022,61.0810000015,1C,auditory,2018_Sep_24_1812,
4C.wav,3,3,1,9,S,,,,,0,8,8,8,,,None,,pu,3,blast_a_022,61.0810000015,1C,auditory,2018_Sep_24_1812,
3A.wav,1,1,2,10,S,,,,,0,9,9,9,,,4,0.323218107224,pu,3,blast_a_022,61.0810000015,1C,auditory,2018_Sep_24_1812,
3B.wav,1,2,2,11,S,,,,,0,10,10,10,,,None,,pu,3,blast_a_022,61.0810000015,1C,auditory,2018_Sep_24_1812,
3C.wav,1,3,2,12,S,,,,,0,11,11,11,,,None,,pu,3,blast_a_022,61.0810000015,1C,auditory,2018_Sep_24_1812,
2A.wav,4,1,1,13,S,,,,,0,12,12,12,,,4,0.0561888217926,pu,3,blast_a_022,61.0810000015,1C,auditory,2018_Sep_24_1812,
2B.wav,4,2,1,14,S,,,,,0,13,13,13,,,4,0.270935058594,pu,3,blast_a_022,61.0810000015,1C,auditory,2018_Sep_24_1812,
2C.wav,4,3,1,15,S,,,,,0,14,14,14,,,None,,pu,3,blast_a_022,61.0810000015,1C,auditory,2018_Sep_24_1812,
1A.wav,2,1,2,16,S,,,,,0,15,15,15,,,4,0.375985860825,pu,3,blast_a_022,61.0810000015,1C,auditory,2018_Sep_24_1812,
1B.wav,2,2,2,17,S,,,,,0,16,16,16,,,None,,pu,3,blast_a_022,61.0810000015,1C,auditory,2018_Sep_24_1812,
1C.wav,2,3,2,18,S,,,,,0,17,17,17,,,4,0.372982978821,pu,3,blast_a_022,61.0810000015,1C,auditory,2018_Sep_24_1812,
4A.wav,3,1,2,19,S,,,,,0,18,18,18,,,None,,pu,3,blast_a_022,61.0810000015,1C,auditory,2018_Sep_24_1812,
4B.wav,3,2,2,20,S,,,,,0,19,19,19,,,None,,pu,3,blast_a_022,61.0810000015,1C,auditory,2018_Sep_24_1812,
4C.wav,3,3,2,21,S,,,,,0,20,20,20,,,None,,pu,3,blast_a_022,61.0810000015,1C,auditory,2018_Sep_24_1812,
3A.wav,1,1,3,22,S,,,,,0,21,21,21,,,4,0.306463003159,pu,3,blast_a_022,61.0810000015,1C,auditory,2018_Sep_24_1812,
3B.wav,1,2,3,23,S,,,,,0,22,22,22,,,None,,pu,3,blast_a_022,61.0810000015,1C,auditory,2018_Sep_24_1812,
3C.wav,1,3,3,24,S,,,,,0,23,23,23,,,4,0.39156794548,pu,3,blast_a_022,61.0810000015,1C,auditory,2018_Sep_24_1812,
2A.wav,4,1,2,25,S,,,,,0,24,24,24,,,None,,pu,3,blast_a_022,61.0810000015,1C,auditory,2018_Sep_24_1812,
2B.wav,4,2,2,26,S,,,,,0,25,25,25,,,4,0.269201993942,pu,3,blast_a_022,61.0810000015,1C,auditory,2018_Sep_24_1812,
