word,location,image,repetition,trialnum,condition,v_block_trials.thisRepN,v_block_trials.thisTrialN,v_block_trials.thisN,v_block_trials.thisIndex,l_block_trial_loop.thisRepN,l_block_trial_loop.thisTrialN,l_block_trial_loop.thisN,l_block_trial_loop.thisIndex,blank_block_trial_loop.thisRepN,blank_block_trial_loop.thisTrialN,blank_block_trial_loop.thisN,blank_block_trial_loop.thisIndex,v_block_trial_key_resp.keys,v_block_trial_key_resp.rt,l_block_trial_key_resp.keys,l_block_trial_key_resp.rt,blank_block_trial_key_resp.keys,Run,vtarget,PartID,ltarget,frameRate,expName,date,
0,3,Alien17.png,1,209,R,0,16,16,16,,,,,,,,,None,,,,,2,21,blast_a_017,B,120.025674889,visual,2018_Jul_26_1104,
0,1,Alien21.png,1,210,R,0,17,17,17,,,,,,,,,3,0.775232644313,,,,2,21,blast_a_017,B,120.025674889,visual,2018_Jul_26_1104,
0,2,Alien23.png,1,211,R,0,18,18,18,,,,,,,,,None,,,,,2,21,blast_a_017,B,120.025674889,visual,2018_Jul_26_1104,
0,3,Alien19.png,1,212,R,0,19,19,19,,,,,,,,,None,,,,,2,21,blast_a_017,B,120.025674889,visual,2018_Jul_26_1104,
0,1,Alien22.png,1,213,R,0,20,20,20,,,,,,,,,None,,,,,2,21,blast_a_017,B,120.025674889,visual,2018_Jul_26_1104,
0,2,Alien18.png,1,214,R,0,21,21,21,,,,,,,,,None,,,,,2,21,blast_a_017,B,120.025674889,visual,2018_Jul_26_1104,
0,3,Alien24.png,1,215,R,0,22,22,22,,,,,,,,,None,,,,,2,21,blast_a_017,B,120.025674889,visual,2018_Jul_26_1104,
0,1,Alien19.png,1,216,R,0,23,23,23,,,,,,,,,None,,,,,2,21,blast_a_017,B,120.025674889,visual,2018_Jul_26_1104,
0,2,Alien17.png,1,217,R,0,24,24,24,,,,,,,,,None,,,,,2,21,blast_a_017,B,120.025674889,visual,2018_Jul_26_1104,
0,3,Alien14.png,1,218,R,0,25,25,25,,,,,,,,,None,,,,,2,21,blast_a_017,B,120.025674889,visual,2018_Jul_26_1104,
0,1,Alien16.png,1,219,R,0,26,26,26,,,,,,,,,None,,,,,2,21,blast_a_017,B,120.025674889,visual,2018_Jul_26_1104,
0,2,Alien17.png,1,220,R,0,27,27,27,,,,,,,,,None,,,,,2,21,blast_a_017,B,120.025674889,visual,2018_Jul_26_1104,
0,3,Alien23.png,1,221,R,0,28,28,28,,,,,,,,,None,,,,,2,21,blast_a_017,B,120.025674889,visual,2018_Jul_26_1104,
0,3,Alien13.png,1,222,R,0,29,29,29,,,,,,,,,None,,,,,2,21,blast_a_017,B,120.025674889,visual,2018_Jul_26_1104,
0,1,Alien23.png,1,223,R,0,30,30,30,,,,,,,,,None,,,,,2,21,blast_a_017,B,120.025674889,visual,2018_Jul_26_1104,
0,2,Alien24.png,1,224,R,0,31,31,31,,,,,,,,,None,,,,,2,21,blast_a_017,B,120.025674889,visual,2018_Jul_26_1104,
0,3,Alien21.png,1,225,R,0,32,32,32,,,,,,,,,3,0.567006283911,,,,2,21,blast_a_017,B,120.025674889,visual,2018_Jul_26_1104,
0,1,Alien16.png,1,226,R,0,33,33,33,,,,,,,,,None,,,,,2,21,blast_a_017,B,120.025674889,visual,2018_Jul_26_1104,
0,2,Alien20.png,1,227,R,0,34,34,34,,,,,,,,,None,,,,,2,21,blast_a_017,B,120.025674889,visual,2018_Jul_26_1104,
0,3,Alien21.png,1,228,R,0,35,35,35,,,,,,,,,3,0.666735507076,,,,2,21,blast_a_017,B,120.025674889,visual,2018_Jul_26_1104,
0,1,Alien18.png,1,229,R,0,36,36,36,,,,,,,,,None,,,,,2,21,blast_a_017,B,120.025674889,visual,2018_Jul_26_1104,
0,2,Alien22.png,1,230,R,0,37,37,37,,,,,,,,,None,,,,,2,21,blast_a_017,B,120.025674889,visual,2018_Jul_26_1104,
0,3,Alien15.png,1,231,R,0,38,38,38,,,,,,,,,None,,,,,2,21,blast_a_017,B,120.025674889,visual,2018_Jul_26_1104,
0,1,Alien24.png,1,232,R,0,39,39,39,,,,,,,,,None,,,,,2,21,blast_a_017,B,120.025674889,visual,2018_Jul_26_1104,
0,2,Alien18.png,1,233,R,0,40,40,40,,,,,,,,,None,,,,,2,21,blast_a_017,B,120.025674889,visual,2018_Jul_26_1104,
0,3,Alien15.png,1,234,R,0,41,41,41,,,,,,,,,None,,,,,2,21,blast_a_017,B,120.025674889,visual,2018_Jul_26_1104,
0,1,Alien20.png,1,235,R,0,42,42,42,,,,,,,,,None,,,,,2,21,blast_a_017,B,120.025674889,visual,2018_Jul_26_1104,
