subject,Domain,Global,Local,Early,Late
blast_a_003,Voice,Low,Long,-0.678,-4.482
blast_a_004,Voice,Low,Long,1.234,0.476
blast_a_005,Voice,Low,Long,2.171,-0.028
blast_a_006,Voice,Low,Long,3.791,0.963
blast_a_007,Voice,Low,Long,0.342,-0.088
blast_a_008,Voice,Low,Long,1.614,1.346
blast_a_009,Voice,Low,Long,0.463,0.31
blast_a_010,Voice,Low,Long,-1.446,-0.72
blast_a_011,Voice,Low,Long,1.772,3.855
blast_a_012,Voice,Low,Long,3.137,1.277
blast_a_013,Voice,Low,Long,1.963,2.9
blast_a_014,Voice,Low,Long,2.293,-1.905
blast_a_015,Voice,Low,Long,-1.655,-0.94
blast_a_016,Voice,Low,Long,0.721,-1.045
blast_a_018,Voice,Low,Long,1.282,1.085
blast_a_019,Voice,Low,Long,-0.239,-3.762
blast_a_020,Voice,Low,Long,-3.216,-2.608
blast_a_021,Voice,Low,Long,1.083,-0.474
blast_a_022,Voice,Low,Long,0.819,-2.558
blast_a_023,Voice,Low,Long,-1.08,-2.288
blast_a_024,Voice,Low,Long,0.617,0.75
blast_a_025,Voice,Low,Long,3.545,2.584
blast_a_026,Voice,Low,Long,1.295,-0.31
blast_a_027,Voice,Low,Long,-0.494,0.234
blast_a_028,Voice,Low,Long,-0.597,-3.916
blast_a_029,Voice,Low,Long,3.06,1.657
blast_a_030,Voice,Low,Long,6.878,16.887
blast_a_031,Voice,Low,Long,4.148,1.824
blast_a_036,Voice,Low,Long,-1.733,-7.169
blast_a_037,Voice,Low,Long,0.45,-0.834
blast_a_038,Voice,Low,Long,-2.239,-5.736
blast_a_039,Voice,Low,Long,0.551,0.947
blast_a_041,Voice,Low,Long,-1.59,-2.996
blast_a_042,Voice,Low,Long,0.354,-7
blast_a_043,Voice,Low,Long,0,0
blast_a_044,Voice,Low,Long,1.36,-2.993
blast_a_045,Voice,Low,Long,0.596,-0.18
blast_a_046,Voice,Low,Long,1.85,1.507
blast_a_047,Voice,Low,Long,-1.89,-0.676
blast_a_048,Voice,Low,Long,-0.025,-1.268
blast_a_049,Voice,Low,Long,-0.544,-2.446
blast_a_050,Voice,Low,Long,-0.281,-1
blast_a_051,Voice,Low,Long,0.518,-1.303
blast_a_001,Voice,Low,Short,-0.202,0.852
blast_a_002,Voice,Low,Short,1.564,0.861
blast_a_003,Voice,Low,Short,0.645,2.045
blast_a_004,Voice,Low,Short,0.641,0.883
blast_a_005,Voice,Low,Short,5.228,2.007
blast_a_006,Voice,Low,Short,2.031,1.405
blast_a_007,Voice,Low,Short,-1.342,-2.479
blast_a_008,Voice,Low,Short,-0.753,-2.165
blast_a_009,Voice,Low,Short,-0.514,-1.8
blast_a_010,Voice,Low,Short,-0.56,-1.768
blast_a_011,Voice,Low,Short,-1.089,2.414
blast_a_012,Voice,Low,Short,2.177,-2.075
blast_a_013,Voice,Low,Short,0.222,-0.27
blast_a_014,Voice,Low,Short,-0.469,-2.737
blast_a_015,Voice,Low,Short,5.793,5.303
blast_a_016,Voice,Low,Short,-0.089,-1.632
blast_a_018,Voice,Low,Short,0.317,-2.511
blast_a_019,Voice,Low,Short,-0.23,-3.7
blast_a_020,Voice,Low,Short,-0.207,-1.307
blast_a_021,Voice,Low,Short,-0.523,-1.784
blast_a_022,Voice,Low,Short,0.249,-1.832
blast_a_023,Voice,Low,Short,0.843,1.806
blast_a_024,Voice,Low,Short,0.974,-0.014
blast_a_025,Voice,Low,Short,0.528,-3.876
blast_a_026,Voice,Low,Short,0.558,-1.41
blast_a_027,Voice,Low,Short,-1.885,-2.271
blast_a_028,Voice,Low,Short,-0.891,-6.295
blast_a_029,Voice,Low,Short,2.267,3.197
blast_a_030,Voice,Low,Short,1.108,0.101
blast_a_031,Voice,Low,Short,1.226,1.919
blast_a_036,Voice,Low,Short,-0.592,-1.221
blast_a_037,Voice,Low,Short,0.42,-0.8
blast_a_038,Voice,Low,Short,-2.248,-6.276
blast_a_039,Voice,Low,Short,-0.968,-0.246
blast_a_041,Voice,Low,Short,-1.165,-3.963
blast_a_042,Voice,Low,Short,1.403,-4.305
blast_a_043,Voice,Low,Short,0,0
blast_a_044,Voice,Low,Short,1.039,-2.019
blast_a_045,Voice,Low,Short,-0.207,-0.357
blast_a_046,Voice,Low,Short,-0.871,-0.145
blast_a_047,Voice,Low,Short,-0.79,-2.923
blast_a_048,Voice,Low,Short,-1.112,-1.664
blast_a_049,Voice,Low,Short,1.05,0.178
blast_a_050,Voice,Low,Short,-0.834,-0.25
blast_a_051,Voice,Low,Short,-0.004,-0.045
