word,location,image,repetition,trialnum,condition,v_block_trials.thisRepN,v_block_trials.thisTrialN,v_block_trials.thisN,v_block_trials.thisIndex,l_block_trial_loop.thisRepN,l_block_trial_loop.thisTrialN,l_block_trial_loop.thisN,l_block_trial_loop.thisIndex,blank_block_trial_loop.thisRepN,blank_block_trial_loop.thisTrialN,blank_block_trial_loop.thisN,blank_block_trial_loop.thisIndex,v_block_trial_key_resp.keys,l_block_trial_key_resp.keys,l_block_trial_key_resp.rt,v_block_trial_key_resp.rt,blank_block_trial_key_resp.keys,Run,vtarget,PartID,ltarget,frameRate,expName,date,
0,2,H.png,1,53,R,,,,,0,4,4,4,,,,,,None,,,,4,9,011,B,119.993480896,visual,2017_Nov_03_1007,
0,3,C.png,1,54,R,,,,,0,5,5,5,,,,,,None,,,,4,9,011,B,119.993480896,visual,2017_Nov_03_1007,
0,1,F.png,1,55,R,,,,,0,6,6,6,,,,,,None,,,,4,9,011,B,119.993480896,visual,2017_Nov_03_1007,
0,2,E.png,1,56,R,,,,,0,7,7,7,,,,,,None,,,,4,9,011,B,119.993480896,visual,2017_Nov_03_1007,
0,3,J.png,1,57,R,,,,,0,8,8,8,,,,,,None,,,,4,9,011,B,119.993480896,visual,2017_Nov_03_1007,
0,1,F.png,1,58,R,,,,,0,9,9,9,,,,,,None,,,,4,9,011,B,119.993480896,visual,2017_Nov_03_1007,
0,2,C.png,1,59,R,,,,,0,10,10,10,,,,,,None,,,,4,9,011,B,119.993480896,visual,2017_Nov_03_1007,
0,3,A.png,1,60,R,,,,,0,11,11,11,,,,,,None,,,,4,9,011,B,119.993480896,visual,2017_Nov_03_1007,
0,1,G.png,1,61,R,,,,,0,12,12,12,,,,,,None,,,,4,9,011,B,119.993480896,visual,2017_Nov_03_1007,
0,2,B.png,1,62,R,,,,,0,13,13,13,,,,,,3,0.464349338348,,,4,9,011,B,119.993480896,visual,2017_Nov_03_1007,
0,3,E.png,1,63,R,,,,,0,14,14,14,,,,,,None,,,,4,9,011,B,119.993480896,visual,2017_Nov_03_1007,
0,1,K.png,1,64,R,,,,,0,15,15,15,,,,,,None,,,,4,9,011,B,119.993480896,visual,2017_Nov_03_1007,
0,2,G.png,1,65,R,,,,,0,16,16,16,,,,,,None,,,,4,9,011,B,119.993480896,visual,2017_Nov_03_1007,
0,3,D.png,1,66,R,,,,,0,17,17,17,,,,,,None,,,,4,9,011,B,119.993480896,visual,2017_Nov_03_1007,
0,1,D.png,1,67,R,,,,,0,18,18,18,,,,,,None,,,,4,9,011,B,119.993480896,visual,2017_Nov_03_1007,
