word,location,image,repetition,trialnum,condition,corrAns,image3,image2,image1,image6,image5,image4,l_block_trial_loop.thisRepN,l_block_trial_loop.thisTrialN,l_block_trial_loop.thisN,l_block_trial_loop.thisIndex,blank_block_trial_loop.thisRepN,blank_block_trial_loop.thisTrialN,blank_block_trial_loop.thisN,blank_block_trial_loop.thisIndex,v_block_trials.thisRepN,v_block_trials.thisTrialN,v_block_trials.thisN,v_block_trials.thisIndex,forced_test_1_block.thisRepN,forced_test_1_block.thisTrialN,forced_test_1_block.thisN,forced_test_1_block.thisIndex,l_block_trial_key_resp.keys,l_block_trial_key_resp.rt,blank_block_trial_key_resp.keys,v_block_trial_key_resp.keys,v_block_trial_key_resp.rt,question_key_resp.keys,question_key_resp.corr,question_key_resp.rt,Run,vtarget,PartID,ltarget,frameRate,expName,date,
3,2,Alien11.bmp,20,233,S,,,,,,,,,,,,,,,,0,40,40,40,,,,,,,,None,,,,,4,6,f008,H,125.579635084,visual,2018_Jan_30_1546,
3,3,Alien12.bmp,20,234,S,,,,,,,,,,,,,,,,0,41,41,41,,,,,,,,None,,,,,4,6,f008,H,125.579635084,visual,2018_Jan_30_1546,
1,1,Alien4.bmp,20,235,S,,,,,,,,,,,,,,,,0,42,42,42,,,,,,,,None,,,,,4,6,f008,H,125.579635084,visual,2018_Jan_30_1546,
1,2,Alien5.bmp,20,236,S,,,,,,,,,,,,,,,,0,43,43,43,,,,,,,,None,,,,,4,6,f008,H,125.579635084,visual,2018_Jan_30_1546,
1,3,Alien6.bmp,20,237,S,,,,,,,,,,,,,,,,0,44,44,44,,,,,,,,3,0.400360732223,,,,4,6,f008,H,125.579635084,visual,2018_Jan_30_1546,
2,1,Alien1.bmp,20,238,S,,,,,,,,,,,,,,,,0,45,45,45,,,,,,,,None,,,,,4,6,f008,H,125.579635084,visual,2018_Jan_30_1546,
2,2,Alien2.bmp,20,239,S,,,,,,,,,,,,,,,,0,46,46,46,,,,,,,,None,,,,,4,6,f008,H,125.579635084,visual,2018_Jan_30_1546,
2,3,Alien3.bmp,20,240,S,,,,,,,,,,,,,,,,0,47,47,47,,,,,,,,None,,,,,4,6,f008,H,125.579635084,visual,2018_Jan_30_1546,
0,0,blank.png,0,0,B,,,,,,,,,,,,,,,,0,48,48,48,,,,,,,,None,,,,,4,6,f008,H,125.579635084,visual,2018_Jan_30_1546,
0,0,blank.png,0,0,B,,,,,,,,,,,,,,,,0,49,49,49,,,,,,,,None,,,,,4,6,f008,H,125.579635084,visual,2018_Jan_30_1546,
0,0,blank.png,0,0,B,,,,,,,,,,,,,,,,0,50,50,50,,,,,,,,None,,,,,4,6,f008,H,125.579635084,visual,2018_Jan_30_1546,
0,0,blank.png,0,0,B,,,,,,,,,,,,,,,,0,51,51,51,,,,,,,,None,,,,,4,6,f008,H,125.579635084,visual,2018_Jan_30_1546,
0,0,blank.png,0,0,B,,,,,,,,,,,,,,,,0,52,52,52,,,,,,,,None,,,,,4,6,f008,H,125.579635084,visual,2018_Jan_30_1546,
0,0,blank.png,0,0,B,,,,,,,,,,,,,,,,0,53,53,53,,,,,,,,None,,,,,4,6,f008,H,125.579635084,visual,2018_Jan_30_1546,
0,0,blank.png,0,0,B,,,,,,,,,,,,,,,,0,54,54,54,,,,,,,,None,,,,,4,6,f008,H,125.579635084,visual,2018_Jan_30_1546,
0,0,blank.png,0,0,B,,,,,,,,,,,,,,,,0,55,55,55,,,,,,,,None,,,,,4,6,f008,H,125.579635084,visual,2018_Jan_30_1546,
0,0,blank.png,0,0,B,,,,,,,,,,,,,,,,0,56,56,56,,,,,,,,None,,,,,4,6,f008,H,125.579635084,visual,2018_Jan_30_1546,
0,0,blank.png,0,0,B,,,,,,,,,,,,,,,,0,57,57,57,,,,,,,,None,,,,,4,6,f008,H,125.579635084,visual,2018_Jan_30_1546,
0,0,blank.png,0,0,B,,,,,,,,,,,,,,,,0,58,58,58,,,,,,,,None,,,,,4,6,f008,H,125.579635084,visual,2018_Jan_30_1546,
0,0,blank.png,0,0,B,,,,,,,,,,,,,,,,0,59,59,59,,,,,,,,None,,,,,4,6,f008,H,125.579635084,visual,2018_Jan_30_1546,
0,0,blank.png,0,0,B,,,,,,,,,,,,0,0,0,0,,,,,,,,,None,0.400341105647,None,,,,,,4,6,f008,H,125.579635084,visual,2018_Jan_30_1546,
0,0,blank.png,0,0,B,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,None,,,,,,4,6,f008,H,125.579635084,visual,2018_Jan_30_1546,
0,0,blank.png,0,0,B,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,None,,,,,,4,6,f008,H,125.579635084,visual,2018_Jan_30_1546,
0,0,blank.png,0,0,B,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,None,,,,,,4,6,f008,H,125.579635084,visual,2018_Jan_30_1546,
0,0,blank.png,0,0,B,,,,,,,,,,,,0,4,4,4,,,,,,,,,,,None,,,,,,4,6,f008,H,125.579635084,visual,2018_Jan_30_1546,
0,0,blank.png,0,0,B,,,,,,,,,,,,0,5,5,5,,,,,,,,,,,None,,,,,,4,6,f008,H,125.579635084,visual,2018_Jan_30_1546,
