soundFile,word,location,repetition,trialnum,condition,corrAns,soundFile3,soundFile2,soundFile1,soundFile6,soundFile5,soundFile4,trials_1.thisRepN,trials_1.thisTrialN,trials_1.thisN,trials_1.thisIndex,fam_trials_loop.thisRepN,twoAFC_1.thisRepN,twoAFC_1.thisTrialN,twoAFC_1.thisN,twoAFC_1.thisIndex,key_resp_6.keys,key_resp_6.corr,key_resp_6.rt,fam_trials_loop.thisTrialN,fam_trials_loop.thisN,fam_trials_loop.thisIndex,structured_block_key_resp.keys,structured_block_key_resp.rt,random_block_key_resp.keys,random_block_key_resp.rt,starget,Run,PartID,frameRate,ttarget,expName,date
pi.wav,0,2,1,386,R,,,,,,,,,,,,0,,,,,,,,1,1,1,,,None,,bi,6,2,119.9808884,1C,auditory,2017_Oct_24_1626
da.wav,0,3,1,387,R,,,,,,,,,,,,0,,,,,,,,2,2,2,,,None,,bi,6,2,119.9808884,1C,auditory,2017_Oct_24_1626
ta.wav,0,1,1,388,R,,,,,,,,,,,,0,,,,,,,,3,3,3,,,None,,bi,6,2,119.9808884,1C,auditory,2017_Oct_24_1626
bi.wav,0,2,1,389,R,,,,,,,,,,,,0,,,,,,,,4,4,4,,,None,,bi,6,2,119.9808884,1C,auditory,2017_Oct_24_1626
ta.wav,0,3,1,390,R,,,,,,,,,,,,0,,,,,,,,5,5,5,,,3,0.341944208,bi,6,2,119.9808884,1C,auditory,2017_Oct_24_1626
du.wav,0,1,1,391,R,,,,,,,,,,,,0,,,,,,,,6,6,6,,,None,,bi,6,2,119.9808884,1C,auditory,2017_Oct_24_1626
tu.wav,0,2,1,392,R,,,,,,,,,,,,0,,,,,,,,7,7,7,,,None,,bi,6,2,119.9808884,1C,auditory,2017_Oct_24_1626
tu.wav,0,3,1,393,R,,,,,,,,,,,,0,,,,,,,,8,8,8,,,None,,bi,6,2,119.9808884,1C,auditory,2017_Oct_24_1626
bu.wav,0,1,1,394,R,,,,,,,,,,,,0,,,,,,,,9,9,9,,,None,,bi,6,2,119.9808884,1C,auditory,2017_Oct_24_1626
ti.wav,0,2,1,395,R,,,,,,,,,,,,0,,,,,,,,10,10,10,,,None,,bi,6,2,119.9808884,1C,auditory,2017_Oct_24_1626
ba.wav,0,3,1,396,R,,,,,,,,,,,,0,,,,,,,,11,11,11,,,None,,bi,6,2,119.9808884,1C,auditory,2017_Oct_24_1626
bi.wav,0,1,1,397,R,,,,,,,,,,,,0,,,,,,,,12,12,12,,,None,,bi,6,2,119.9808884,1C,auditory,2017_Oct_24_1626
bu.wav,0,2,1,398,R,,,,,,,,,,,,0,,,,,,,,13,13,13,,,None,,bi,6,2,119.9808884,1C,auditory,2017_Oct_24_1626
pu.wav,0,3,1,399,R,,,,,,,,,,,,0,,,,,,,,14,14,14,,,3,0.130138478,bi,6,2,119.9808884,1C,auditory,2017_Oct_24_1626
bi.wav,0,1,1,400,R,,,,,,,,,,,,0,,,,,,,,15,15,15,,,None,,bi,6,2,119.9808884,1C,auditory,2017_Oct_24_1626
ti.wav,0,2,1,401,R,,,,,,,,,,,,0,,,,,,,,16,16,16,,,3,0.375292409,bi,6,2,119.9808884,1C,auditory,2017_Oct_24_1626
da.wav,0,3,1,402,R,,,,,,,,,,,,0,,,,,,,,17,17,17,,,None,,bi,6,2,119.9808884,1C,auditory,2017_Oct_24_1626
pa.wav,0,1,1,403,R,,,,,,,,,,,,0,,,,,,,,18,18,18,,,None,,bi,6,2,119.9808884,1C,auditory,2017_Oct_24_1626
du.wav,0,2,1,404,R,,,,,,,,,,,,0,,,,,,,,19,19,19,,,None,,bi,6,2,119.9808884,1C,auditory,2017_Oct_24_1626
pi.wav,0,3,1,405,R,,,,,,,,,,,,0,,,,,,,,20,20,20,,,None,,bi,6,2,119.9808884,1C,auditory,2017_Oct_24_1626
pi.wav,0,1,1,406,R,,,,,,,,,,,,0,,,,,,,,21,21,21,,,None,,bi,6,2,119.9808884,1C,auditory,2017_Oct_24_1626
tu.wav,0,2,1,407,R,,,,,,,,,,,,0,,,,,,,,22,22,22,,,None,,bi,6,2,119.9808884,1C,auditory,2017_Oct_24_1626
di.wav,0,3,1,408,R,,,,,,,,,,,,0,,,,,,,,23,23,23,,,None,,bi,6,2,119.9808884,1C,auditory,2017_Oct_24_1626
silence.wav,0,0,0,0,B,,,,,,,,,,,,0,,,,,,,,24,24,24,,,None,,bi,6,2,119.9808884,1C,auditory,2017_Oct_24_1626
silence.wav,0,0,0,0,B,,,,,,,,,,,,0,,,,,,,,25,25,25,,,None,,bi,6,2,119.9808884,1C,auditory,2017_Oct_24_1626
silence.wav,0,0,0,0,B,,,,,,,,,,,,0,,,,,,,,26,26,26,,,None,,bi,6,2,119.9808884,1C,auditory,2017_Oct_24_1626
silence.wav,0,0,0,0,B,,,,,,,,,,,,0,,,,,,,,27,27,27,,,None,,bi,6,2,119.9808884,1C,auditory,2017_Oct_24_1626
silence.wav,0,0,0,0,B,,,,,,,,,,,,0,,,,,,,,28,28,28,,,None,,bi,6,2,119.9808884,1C,auditory,2017_Oct_24_1626
silence.wav,0,0,0,0,B,,,,,,,,,,,,0,,,,,,,,29,29,29,,,None,,bi,6,2,119.9808884,1C,auditory,2017_Oct_24_1626
silence.wav,0,0,0,0,B,,,,,,,,,,,,0,,,,,,,,30,30,30,,,None,,bi,6,2,119.9808884,1C,auditory,2017_Oct_24_1626
silence.wav,0,0,0,0,B,,,,,,,,,,,,0,,,,,,,,31,31,31,,,None,,bi,6,2,119.9808884,1C,auditory,2017_Oct_24_1626
silence.wav,0,0,0,0,B,,,,,,,,,,,,0,,,,,,,,32,32,32,,,None,,bi,6,2,119.9808884,1C,auditory,2017_Oct_24_1626
silence.wav,0,0,0,0,B,,,,,,,,,,,,0,,,,,,,,33,33,33,,,None,,bi,6,2,119.9808884,1C,auditory,2017_Oct_24_1626
silence.wav,0,0,0,0,B,,,,,,,,,,,,0,,,,,,,,34,34,34,,,None,,bi,6,2,119.9808884,1C,auditory,2017_Oct_24_1626
silence.wav,0,0,0,0,B,,,,,,,,,,,,0,,,,,,,,35,35,35,,,None,,bi,6,2,119.9808884,1C,auditory,2017_Oct_24_1626
1A.wav,2,1,34,409,S,,,,,,,,0,0,0,0,,,,,,,,,,,,None,,,,bi,6,2,119.9808884,1C,auditory,2017_Oct_24_1626
