"","ans","subj","key","trial_order","corr"
"330","2","blast_c_073",2,10,1
"331","1","blast_c_073",1,11,1
"332","1","blast_c_073",1,12,1
"333","2","blast_c_073",1,13,0
"334","1","blast_c_073",2,14,0
"335","2","blast_c_073",2,15,1
"336","2","blast_c_073",1,16,0
"337","1","blast_c_073",2,17,0
"338","1","blast_c_073",2,18,0
"339","2","blast_c_073",1,19,0
"340","1","blast_c_073",1,20,1
"341","1","blast_c_073",2,21,0
"342","2","blast_c_073",1,22,0
"343","1","blast_c_073",2,23,0
"344","1","blast_c_073",1,24,1
"345","2","blast_c_073",2,25,1
"346","1","blast_c_073",1,26,1
"347","2","blast_c_073",2,27,1
"348","1","blast_c_073",1,28,1
"349","2","blast_c_073",1,29,0
"350","1","blast_c_073",2,30,0
"351","1","blast_c_073",2,31,0
"352","2","blast_c_073",2,32,1
"353","2","blast_c_081",1,1,0
"354","2","blast_c_081",1,2,0
"355","2","blast_c_081",2,3,1
"356","2","blast_c_081",1,4,0
"357","1","blast_c_081",1,5,1
"358","1","blast_c_081",1,6,1
"359","1","blast_c_081",2,7,0
"360","1","blast_c_081",2,8,0
"361","1","blast_c_081",2,9,0
"362","2","blast_c_081",2,10,1
"363","2","blast_c_081",1,11,0
"364","1","blast_c_081",1,12,1
"365","2","blast_c_081",1,13,0
"366","2","blast_c_081",2,14,1
"367","1","blast_c_081",2,15,0
"368","1","blast_c_081",1,16,1
"369","1","blast_c_081",2,17,0
"370","1","blast_c_081",2,18,0
"371","2","blast_c_081",1,19,0
"372","1","blast_c_081",1,20,1
"373","1","blast_c_081",2,21,0
"374","2","blast_c_081",1,22,0
"375","1","blast_c_081",2,23,0
"376","2","blast_c_081",1,24,0
"377","1","blast_c_081",2,25,0
"378","1","blast_c_081",1,26,1
"379","1","blast_c_081",2,27,0
"380","1","blast_c_081",1,28,1
"381","1","blast_c_081",1,29,1
"382","1","blast_c_081",2,30,0
"383","1","blast_c_081",2,31,0
"384","1","blast_c_081",2,32,0
"385","1","blast_c_085",1,1,1
"386","2","blast_c_085",1,2,0
"387","2","blast_c_085",2,3,1
"388","2","blast_c_085",1,4,0
"389","2","blast_c_085",1,5,0
"390","2","blast_c_085",1,6,0
"391","1","blast_c_085",2,7,0
"392","2","blast_c_085",2,8,1
"393","1","blast_c_085",2,9,0
"394","2","blast_c_085",2,10,1
"395","2","blast_c_085",1,11,0
"396","2","blast_c_085",1,12,0
"397","2","blast_c_085",1,13,0
"398","1","blast_c_085",2,14,0
"399","2","blast_c_085",2,15,1
"400","1","blast_c_085",1,16,1
"401","1","blast_c_085",2,17,0
"402","2","blast_c_085",2,18,1
"403","2","blast_c_085",1,19,0
"404","2","blast_c_085",1,20,0
"405","2","blast_c_085",2,21,1
"406","2","blast_c_085",1,22,0
"407","2","blast_c_085",2,23,1
"408","1","blast_c_085",1,24,1
"409","2","blast_c_085",2,25,1
"410","1","blast_c_085",1,26,1
"411","2","blast_c_085",2,27,1
"412","1","blast_c_085",1,28,1
