Subject,Session,AgeMonth,AgeYears,gender,Group,languages,SessionDate,Block,Procedure[Block],Trial,answer.ACC,answer.CRESP,answer.OnsetToOnsetTime,answer.RESP,answer.RT,answer.RTTime,correctAnswer,correctKeyboard,nonword,Procedure[Trial],word
103,1,1,24,female,1,hebrew,11/5/17,2,SegmentationTest,14,1,p,0,p,47,215987,gedino,p,nadime,SegmentationProc,gedino
103,1,1,24,female,1,hebrew,11/5/17,2,SegmentationTest,15,0,p,0,q,103,219603,tobelu,p,duloga,SegmentationProc,tobelu
103,1,1,24,female,1,hebrew,11/5/17,2,SegmentationTest,16,1,q,0,q,157,223283,dukame,q,nadime,SegmentationProc,dukame
103,1,1,24,female,1,hebrew,11/5/17,2,SegmentationTest,17,0,q,0,p,93,226899,tobelu,q,gekalu,SegmentationProc,tobelu
103,1,1,24,female,1,hebrew,11/5/17,2,SegmentationTest,18,1,q,0,q,384,230803,gedino,q,duloga,SegmentationProc,gedino
103,1,1,24,female,1,hebrew,11/5/17,2,SegmentationTest,19,1,p,0,p,261,234587,kimuga,p,tomubi,SegmentationProc,kimuga
103,1,1,24,female,1,hebrew,11/5/17,2,SegmentationTest,20,0,p,0,q,147,238259,nalobi,p,kibeno,SegmentationProc,nalobi
103,1,1,24,female,1,hebrew,11/5/17,2,SegmentationTest,21,0,p,0,q,488,242267,gedino,p,gekalu,SegmentationProc,gedino
103,1,1,24,female,1,hebrew,11/5/17,2,SegmentationTest,22,0,q,0,p,611,246403,tobelu,q,kibeno,SegmentationProc,tobelu
103,1,1,24,female,1,hebrew,11/5/17,2,SegmentationTest,23,1,q,0,q,342,250267,nalobi,q,tomubi,SegmentationProc,nalobi
103,1,1,24,female,1,hebrew,11/5/17,2,SegmentationTest,24,0,p,0,q,52,253843,kimuga,p,nadime,SegmentationProc,kimuga
103,1,1,24,female,1,hebrew,11/5/17,2,SegmentationTest,25,1,p,0,p,199,257563,dukame,p,duloga,SegmentationProc,dukame
104,1,1,21,female,1,hebrew,11/5/17,1,exposureProc,1,,,,,,,,,,SoundExposure,
104,1,1,21,female,1,hebrew,11/5/17,2,SegmentationTest,1,1,p,0,p,9389,229456,kimuga,p,duloga,SegmentationProc,kimuga
104,1,1,21,female,1,hebrew,11/5/17,2,SegmentationTest,2,1,p,0,p,2723,235696,gedino,p,kibeno,SegmentationProc,gedino
104,1,1,21,female,1,hebrew,11/5/17,2,SegmentationTest,3,1,q,0,q,676,239888,dukame,q,gekalu,SegmentationProc,dukame
104,1,1,21,female,1,hebrew,11/5/17,2,SegmentationTest,4,1,q,0,q,1692,245104,tobelu,q,tomubi,SegmentationProc,tobelu
104,1,1,21,female,1,hebrew,11/5/17,2,SegmentationTest,5,1,q,0,q,895,249520,nalobi,q,nadime,SegmentationProc,nalobi
104,1,1,21,female,1,hebrew,11/5/17,2,SegmentationTest,6,1,q,0,q,1354,254392,kimuga,q,gekalu,SegmentationProc,kimuga
104,1,1,21,female,1,hebrew,11/5/17,2,SegmentationTest,7,1,p,0,p,440,258344,dukame,p,kibeno,SegmentationProc,dukame
104,1,1,21,female,1,hebrew,11/5/17,2,SegmentationTest,8,1,p,0,p,688,262552,gedino,p,tomubi,SegmentationProc,gedino
104,1,1,21,female,1,hebrew,11/5/17,2,SegmentationTest,9,1,q,0,q,1499,267576,tobelu,q,nadime,SegmentationProc,tobelu
104,1,1,21,female,1,hebrew,11/5/17,2,SegmentationTest,10,0,p,0,q,1494,272584,nalobi,p,duloga,SegmentationProc,nalobi
104,1,1,21,female,1,hebrew,11/5/17,2,SegmentationTest,11,1,q,0,q,145,276248,dukame,q,tomubi,SegmentationProc,dukame
104,1,1,21,female,1,hebrew,11/5/17,2,SegmentationTest,12,1,q,0,q,550,280320,kimuga,q,kibeno,SegmentationProc,kimuga
104,1,1,21,female,1,hebrew,11/5/17,2,SegmentationTest,13,0,p,0,q,3484,287320,gedino,p,nadime,SegmentationProc,gedino
104,1,1,21,female,1,hebrew,11/5/17,2,SegmentationTest,14,0,p,0,q,900,291736,tobelu,p,duloga,SegmentationProc,tobelu
104,1,1,21,female,1,hebrew,11/5/17,2,SegmentationTest,15,0,q,0,p,406,295655,nalobi,q,gekalu,SegmentationProc,nalobi
104,1,1,21,female,1,hebrew,11/5/17,2,SegmentationTest,16,0,q,0,p,359,299527,dukame,q,nadime,SegmentationProc,dukame
104,1,1,21,female,1,hebrew,11/5/17,2,SegmentationTest,17,0,q,0,p,1055,304103,tobelu,q,gekalu,SegmentationProc,tobelu
104,1,1,21,female,1,hebrew,11/5/17,2,SegmentationTest,18,1,q,0,q,1482,309103,gedino,q,duloga,SegmentationProc,gedino
104,1,1,21,female,1,hebrew,11/5/17,2,SegmentationTest,19,1,p,0,p,954,313575,kimuga,p,tomubi,SegmentationProc,kimuga
104,1,1,21,female,1,hebrew,11/5/17,2,SegmentationTest,20,0,p,0,q,1546,318647,nalobi,p,kibeno,SegmentationProc,nalobi
104,1,1,21,female,1,hebrew,11/5/17,2,SegmentationTest,21,1,p,0,p,288,322455,gedino,p,gekalu,SegmentationProc,gedino
104,1,1,21,female,1,hebrew,11/5/17,2,SegmentationTest,22,1,q,0,q,1179,327159,tobelu,q,kibeno,SegmentationProc,tobelu
104,1,1,21,female,1,hebrew,11/5/17,2,SegmentationTest,23,1,q,0,q,622,331295,nalobi,q,tomubi,SegmentationProc,nalobi
104,1,1,21,female,1,hebrew,11/5/17,2,SegmentationTest,24,1,p,0,p,675,335495,kimuga,p,nadime,SegmentationProc,kimuga
104,1,1,21,female,1,hebrew,11/5/17,2,SegmentationTest,25,0,p,0,q,820,339839,dukame,p,duloga,SegmentationProc,dukame
105,1,4,31,male,1,hebrew,11/6/17,1,exposureProc,1,,,,,,,,,,SoundExposure,
105,1,4,31,male,1,hebrew,11/6/17,2,SegmentationTest,1,1,p,0,p,1329,164464,gedino,p,kibeno,SegmentationProc,gedino
105,1,4,31,male,1,hebrew,11/6/17,2,SegmentationTest,2,1,q,0,q,804,168792,dukame,q,gekalu,SegmentationProc,dukame
105,1,4,31,male,1,hebrew,11/6/17,2,SegmentationTest,3,1,p,0,p,629,172936,kimuga,p,duloga,SegmentationProc,kimuga
105,1,4,31,male,1,hebrew,11/6/17,2,SegmentationTest,4,1,q,0,q,634,177088,nalobi,q,nadime,SegmentationProc,nalobi
105,1,4,31,male,1,hebrew,11/6/17,2,SegmentationTest,5,1,q,0,q,699,181312,tobelu,q,tomubi,SegmentationProc,tobelu
105,1,4,31,male,1,hebrew,11/6/17,2,SegmentationTest,6,1,p,0,p,1157,185983,nalobi,p,duloga,SegmentationProc,nalobi
105,1,4,31,male,1,hebrew,11/6/17,2,SegmentationTest,7,1,q,0,q,821,190327,kimuga,q,gekalu,SegmentationProc,kimuga
105,1,4,31,male,1,hebrew,11/6/17,2,SegmentationTest,8,0,p,0,q,779,194631,dukame,p,kibeno,SegmentationProc,dukame
105,1,4,31,male,1,hebrew,11/6/17,2,SegmentationTest,9,1,p,0,p,990,199135,gedino,p,tomubi,SegmentationProc,gedino
105,1,4,31,male,1,hebrew,11/6/17,2,SegmentationTest,10,1,q,0,q,611,203263,tobelu,q,nadime,SegmentationProc,tobelu
105,1,4,31,male,1,hebrew,11/6/17,2,SegmentationTest,11,1,q,0,q,614,207399,nalobi,q,gekalu,SegmentationProc,nalobi
105,1,4,31,male,1,hebrew,11/6/17,2,SegmentationTest,12,1,q,0,q,1073,211991,dukame,q,tomubi,SegmentationProc,dukame
105,1,4,31,male,1,hebrew,11/6/17,2,SegmentationTest,13,1,q,0,q,1399,216903,kimuga,q,kibeno,SegmentationProc,kimuga
105,1,4,31,male,1,hebrew,11/6/17,2,SegmentationTest,14,1,p,0,p,471,220895,gedino,p,nadime,SegmentationProc,gedino
105,1,4,31,male,1,hebrew,11/6/17,2,SegmentationTest,15,1,p,0,p,973,225383,tobelu,p,duloga,SegmentationProc,tobelu
105,1,4,31,male,1,hebrew,11/6/17,2,SegmentationTest,16,1,q,0,q,720,229623,dukame,q,nadime,SegmentationProc,dukame
105,1,4,31,male,1,hebrew,11/6/17,2,SegmentationTest,17,1,q,0,q,503,233646,tobelu,q,gekalu,SegmentationProc,tobelu
105,1,4,31,male,1,hebrew,11/6/17,2,SegmentationTest,18,1,q,0,q,525,237694,gedino,q,duloga,SegmentationProc,gedino
