Subject,Session,AgeMonth,AgeYears,gender,Group,languages,SessionDate,Block,Procedure[Block],Trial,answer.ACC,answer.CRESP,answer.OnsetToOnsetTime,answer.RESP,answer.RT,answer.RTTime,correctAnswer,correctKeyboard,nonword,Procedure[Trial],word
205,2,5,31,male,1,hebrew,01-21-2018,2,SegmentationTest,6,1,q,0,q,548,299532,kimuga,q,gekalu,SegmentationProc,kimuga
205,2,5,31,male,1,hebrew,01-21-2018,2,SegmentationTest,7,1,p,0,p,798,303852,dukame,p,kibeno,SegmentationProc,dukame
205,2,5,31,male,1,hebrew,01-21-2018,2,SegmentationTest,8,1,p,0,p,518,307892,gedino,p,tomubi,SegmentationProc,gedino
205,2,5,31,male,1,hebrew,01-21-2018,2,SegmentationTest,9,1,q,0,q,577,311988,tobelu,q,nadime,SegmentationProc,tobelu
205,2,5,31,male,1,hebrew,01-21-2018,2,SegmentationTest,10,1,p,0,p,1202,316716,nalobi,p,duloga,SegmentationProc,nalobi
205,2,5,31,male,1,hebrew,01-21-2018,2,SegmentationTest,11,1,q,0,q,801,321036,dukame,q,tomubi,SegmentationProc,dukame
205,2,5,31,male,1,hebrew,01-21-2018,2,SegmentationTest,12,1,q,0,q,937,325492,kimuga,q,kibeno,SegmentationProc,kimuga
205,2,5,31,male,1,hebrew,01-21-2018,2,SegmentationTest,13,1,p,0,p,451,329460,gedino,p,nadime,SegmentationProc,gedino
205,2,5,31,male,1,hebrew,01-21-2018,2,SegmentationTest,14,0,p,0,q,553,333532,tobelu,p,duloga,SegmentationProc,tobelu
205,2,5,31,male,1,hebrew,01-21-2018,2,SegmentationTest,15,1,q,0,q,683,337732,nalobi,q,gekalu,SegmentationProc,nalobi
205,2,5,31,male,1,hebrew,01-21-2018,2,SegmentationTest,16,1,q,0,q,527,341780,dukame,q,nadime,SegmentationProc,dukame
205,2,5,31,male,1,hebrew,01-21-2018,2,SegmentationTest,17,1,q,0,q,1865,347155,tobelu,q,gekalu,SegmentationProc,tobelu
205,2,5,31,male,1,hebrew,01-21-2018,2,SegmentationTest,18,1,q,0,q,477,351155,gedino,q,duloga,SegmentationProc,gedino
205,2,5,31,male,1,hebrew,01-21-2018,2,SegmentationTest,19,0,p,0,q,1250,355931,kimuga,p,tomubi,SegmentationProc,kimuga
205,2,5,31,male,1,hebrew,01-21-2018,2,SegmentationTest,20,1,p,0,p,1447,360899,nalobi,p,kibeno,SegmentationProc,nalobi
