cond,sound,speaker,trial,eventcode,order
s,ba,e,10,115,623
s,ba,e,36,115,624
s,ba,e,23,115,625
s,ba,e,22,115,626
s,ba,e,3,115,627
s,ba,e,27,115,628
sd,da,e,27,214,629
s,ba,e,49,115,630
s,ba,e,15,115,631
s,ba,e,22,115,632
s,ba,e,26,115,633
s,ba,e,39,115,634
bd,ba,s,1,124,635
s,ba,e,17,115,636
s,ba,e,44,115,637
s,ba,e,47,115,638
s,ba,e,25,115,639
s,ba,e,15,115,640
s,ba,e,46,115,641
s,ba,e,39,115,642
sd,da,e,19,214,643
s,ba,e,29,115,644
s,ba,e,23,115,645
s,ba,e,2,115,646
s,ba,e,4,115,647
s,ba,e,45,115,648
bd,ba,s,32,124,649
s,ba,e,37,115,650
s,ba,e,12,115,651
s,ba,e,17,115,652
s,ba,e,12,115,653
s,ba,e,13,115,654
s,ba,e,36,115,655
s,ba,e,36,115,656
s,ba,e,0,115,657
s,ba,e,37,115,658
s,ba,e,34,115,659
s,ba,e,16,115,660
s,ba,e,25,115,661
bd,ba,s,14,124,662
s,ba,e,11,115,663
s,ba,e,20,115,664
s,ba,e,43,115,665
s,ba,e,47,115,666
s,ba,e,30,115,667
s,ba,e,27,115,668
s,ba,e,19,115,669
sd,da,e,18,214,670
s,ba,e,1,115,671
s,ba,e,29,115,672
s,ba,e,31,115,673
s,ba,e,24,115,674
s,ba,e,13,115,675
s,ba,e,4,115,676
s,ba,e,20,115,677
sd,da,e,17,214,678
s,ba,e,11,115,679
s,ba,e,30,115,680
s,ba,e,8,115,681
s,ba,e,28,115,682
s,ba,e,28,115,683
s,ba,e,17,115,684
s,ba,e,7,115,685
bd,ba,s,15,124,686
s,ba,e,42,115,687
s,ba,e,42,115,688
s,ba,e,12,115,689
s,ba,e,39,115,690
s,ba,e,27,115,691
s,ba,e,13,115,692
s,ba,e,43,115,693
s,ba,e,5,115,694
s,ba,e,14,115,695
s,ba,e,29,115,696
bd,ba,s,40,124,697
s,ba,e,3,115,698
s,ba,e,26,115,699
s,ba,e,32,115,700
s,ba,e,41,115,701
s,ba,e,35,115,702
s,ba,e,31,115,703
s,ba,e,18,115,704
bd,ba,s,33,124,705
s,ba,e,39,115,706
s,ba,e,48,115,707
s,ba,e,22,115,708
s,ba,e,11,115,709
s,ba,e,8,115,710
s,ba,e,6,115,711
s,ba,e,30,115,712
s,ba,e,27,115,713
s,ba,e,9,115,714
bd,ba,s,13,124,715
s,ba,e,34,115,716
s,ba,e,48,115,717
s,ba,e,24,115,718
s,ba,e,21,115,719
s,ba,e,46,115,720
s,ba,e,4,115,721
s,ba,e,5,115,722
s,ba,e,2,115,723
s,ba,e,30,115,724
s,ba,e,3,115,725
s,ba,e,33,115,726
bd,ba,s,43,124,727
s,ba,e,31,115,728
s,ba,e,23,115,729
s,ba,e,28,115,730
s,ba,e,6,115,731
s,ba,e,22,115,732
sd,da,e,18,214,733
s,ba,e,27,115,734
s,ba,e,34,115,735
s,ba,e,44,115,736
s,ba,e,13,115,737
s,ba,e,44,115,738
s,ba,e,37,115,739
s,ba,e,10,115,740
bd,ba,s,7,124,741
s,ba,e,2,115,742
s,ba,e,2,115,743
s,ba,e,45,115,744
s,ba,e,28,115,745
s,ba,e,35,115,746
s,ba,e,9,115,747
sd,da,e,33,214,748
s,ba,e,10,115,749
s,ba,e,18,115,750
s,ba,e,7,115,751
s,ba,e,12,115,752
s,ba,e,37,115,753
sd,da,e,41,214,754
s,ba,e,15,115,755
s,ba,e,15,115,756
s,ba,e,29,115,757
s,ba,e,17,115,758
s,ba,e,13,115,759
s,ba,e,2,115,760
s,ba,e,9,115,761
bd,ba,s,5,124,762
s,ba,e,47,115,763
s,ba,e,15,115,764
s,ba,e,46,115,765
s,ba,e,45,115,766
s,ba,e,49,115,767
sd,da,e,23,214,768
s,ba,e,30,115,769
s,ba,e,24,115,770
s,ba,e,26,115,771
s,ba,e,48,115,772
s,ba,e,42,115,773
s,ba,e,24,115,774
bd,ba,s,25,124,775
s,ba,e,6,115,776
s,ba,e,15,115,777
s,ba,e,19,115,778
s,ba,e,4,115,779
sd,da,e,40,214,780
s,ba,e,48,115,781
s,ba,e,3,115,782
s,ba,e,6,115,783
s,ba,e,19,115,784
s,ba,e,17,115,785
s,ba,e,35,115,786
bd,ba,s,10,124,787
s,ba,e,13,115,788
s,ba,e,30,115,789
s,ba,e,17,115,790
s,ba,e,25,115,791
s,ba,e,21,115,792
bd,ba,s,37,124,793
s,ba,e,11,115,794
