soundFile,word,location,repetition,trialnum,condition,fam_trials_loop.thisRepN,fam_trials_loop.thisTrialN,fam_trials_loop.thisN,fam_trials_loop.thisIndex,trials_1.thisRepN,trials_1.thisTrialN,trials_1.thisN,trials_1.thisIndex,structured_block_key_resp.keys,structured_block_key_resp.rt,random_block_key_resp.keys,random_block_key_resp.rt,starget,Run,PartID,frameRate,ttarget,expName,date,
4A.wav,0.0,2.0,1.0,62.0,R,,,,,0,49,49,49,,,None,,du,1,007,60.0093306906,2C,auditory,2017_Nov_01_1130,
3C.wav,0.0,3.0,1.0,63.0,R,,,,,0,50,50,50,,,2,0.0171015314991,du,1,007,60.0093306906,2C,auditory,2017_Nov_01_1130,
2C.wav,0.0,1.0,1.0,64.0,R,,,,,0,51,51,51,,,None,,du,1,007,60.0093306906,2C,auditory,2017_Nov_01_1130,
4A.wav,0.0,2.0,1.0,65.0,R,,,,,0,52,52,52,,,None,,du,1,007,60.0093306906,2C,auditory,2017_Nov_01_1130,
1A.wav,0.0,3.0,1.0,66.0,R,,,,,0,53,53,53,,,None,,du,1,007,60.0093306906,2C,auditory,2017_Nov_01_1130,
2B.wav,0.0,1.0,1.0,67.0,R,,,,,0,54,54,54,,,None,,du,1,007,60.0093306906,2C,auditory,2017_Nov_01_1130,
2A.wav,0.0,2.0,1.0,68.0,R,,,,,0,55,55,55,,,None,,du,1,007,60.0093306906,2C,auditory,2017_Nov_01_1130,
2A.wav,0.0,3.0,1.0,69.0,R,,,,,0,56,56,56,,,None,,du,1,007,60.0093306906,2C,auditory,2017_Nov_01_1130,
4C.wav,0.0,1.0,1.0,70.0,R,,,,,0,57,57,57,,,None,,du,1,007,60.0093306906,2C,auditory,2017_Nov_01_1130,
1B.wav,0.0,2.0,1.0,71.0,R,,,,,0,58,58,58,,,None,,du,1,007,60.0093306906,2C,auditory,2017_Nov_01_1130,
3A.wav,0.0,3.0,1.0,72.0,R,,,,,0,59,59,59,,,None,,du,1,007,60.0093306906,2C,auditory,2017_Nov_01_1130,
