soundFile,word,location,repetition,trialnum,condition,practice_trials_1.thisRepN,practice_trials_1.thisTrialN,practice_trials_1.thisN,practice_trials_1.thisIndex,practice_trials_2.thisRepN,practice_trials_2.thisTrialN,practice_trials_2.thisN,practice_trials_2.thisIndex,fam_trials_loop.thisRepN,fam_trials_loop.thisTrialN,fam_trials_loop.thisN,fam_trials_loop.thisIndex,trials_1.thisRepN,trials_1.thisTrialN,trials_1.thisN,trials_1.thisIndex,practice_trial_1.keys,practice_trial_1.rt,structured_block_key_resp.keys,structured_block_key_resp.rt,random_block_key_resp.keys,random_block_key_resp.rt,starget,Run,PartID,frameRate,ttarget,expName,date,
pu.wav,2,3,2,18,S,,,,,,,,,0,17,17,17,,,,,,,None,,,,pu,1,003,123.89936167,2c,auditory,2017_Oct_25_0959,
ta.wav,3,1,2,19,S,,,,,,,,,0,18,18,18,,,,,,,3,0.408622119576,,,pu,1,003,123.89936167,2c,auditory,2017_Oct_25_0959,
ti.wav,3,2,2,20,S,,,,,,,,,0,19,19,19,,,,,,,None,,,,pu,1,003,123.89936167,2c,auditory,2017_Oct_25_0959,
du.wav,3,3,2,21,S,,,,,,,,,0,20,20,20,,,,,,,None,,,,pu,1,003,123.89936167,2c,auditory,2017_Oct_25_0959,
pi.wav,1,1,3,22,S,,,,,,,,,0,21,21,21,,,,,,,None,,,,pu,1,003,123.89936167,2c,auditory,2017_Oct_25_0959,
tu.wav,1,2,3,23,S,,,,,,,,,0,22,22,22,,,,,,,None,,,,pu,1,003,123.89936167,2c,auditory,2017_Oct_25_0959,
bi.wav,1,3,3,24,S,,,,,,,,,0,23,23,23,,,,,,,None,,,,pu,1,003,123.89936167,2c,auditory,2017_Oct_25_0959,
1A.wav,0,1,1,1,R,,,,,,,,,,,,,0,0,0,0,,,,,None,,pu,1,003,123.89936167,2c,auditory,2017_Oct_25_0959,
1B.wav,0,2,1,2,R,,,,,,,,,,,,,0,1,1,1,,,,,None,,pu,1,003,123.89936167,2c,auditory,2017_Oct_25_0959,
4A.wav,0,3,1,3,R,,,,,,,,,,,,,0,2,2,2,,,,,None,,pu,1,003,123.89936167,2c,auditory,2017_Oct_25_0959,
1C.wav,0,1,1,4,R,,,,,,,,,,,,,0,3,3,3,,,,,None,,pu,1,003,123.89936167,2c,auditory,2017_Oct_25_0959,
3C.wav,0,2,1,5,R,,,,,,,,,,,,,0,4,4,4,,,,,None,,pu,1,003,123.89936167,2c,auditory,2017_Oct_25_0959,
2C.wav,0,3,1,6,R,,,,,,,,,,,,,0,5,5,5,,,,,None,,pu,1,003,123.89936167,2c,auditory,2017_Oct_25_0959,
2A.wav,0,1,1,7,R,,,,,,,,,,,,,0,6,6,6,,,,,3,0.0418712766841,pu,1,003,123.89936167,2c,auditory,2017_Oct_25_0959,
3B.wav,0,2,1,8,R,,,,,,,,,,,,,0,7,7,7,,,,,None,,pu,1,003,123.89936167,2c,auditory,2017_Oct_25_0959,
2B.wav,0,3,1,9,R,,,,,,,,,,,,,0,8,8,8,,,,,None,,pu,1,003,123.89936167,2c,auditory,2017_Oct_25_0959,
1C.wav,0,1,1,10,R,,,,,,,,,,,,,0,9,9,9,,,,,None,,pu,1,003,123.89936167,2c,auditory,2017_Oct_25_0959,
4C.wav,0,2,1,11,R,,,,,,,,,,,,,0,10,10,10,,,,,None,,pu,1,003,123.89936167,2c,auditory,2017_Oct_25_0959,
3B.wav,0,3,1,12,R,,,,,,,,,,,,,0,11,11,11,,,,,3,0.143536069896,pu,1,003,123.89936167,2c,auditory,2017_Oct_25_0959,
4B.wav,0,1,1,13,R,,,,,,,,,,,,,0,12,12,12,,,,,None,,pu,1,003,123.89936167,2c,auditory,2017_Oct_25_0959,
3A.wav,0,2,1,14,R,,,,,,,,,,,,,0,13,13,13,,,,,3,0.441948417807,pu,1,003,123.89936167,2c,auditory,2017_Oct_25_0959,
3C.wav,0,3,1,15,R,,,,,,,,,,,,,0,14,14,14,,,,,None,,pu,1,003,123.89936167,2c,auditory,2017_Oct_25_0959,
3B.wav,0,1,1,16,R,,,,,,,,,,,,,0,15,15,15,,,,,None,,pu,1,003,123.89936167,2c,auditory,2017_Oct_25_0959,
3A.wav,0,2,1,17,R,,,,,,,,,,,,,0,16,16,16,,,,,None,,pu,1,003,123.89936167,2c,auditory,2017_Oct_25_0959,
4A.wav,0,3,1,18,R,,,,,,,,,,,,,0,17,17,17,,,,,None,,pu,1,003,123.89936167,2c,auditory,2017_Oct_25_0959,
3A.wav,0,1,1,19,R,,,,,,,,,,,,,0,18,18,18,,,,,None,,pu,1,003,123.89936167,2c,auditory,2017_Oct_25_0959,
4C.wav,0,2,1,20,R,,,,,,,,,,,,,0,19,19,19,,,,,None,,pu,1,003,123.89936167,2c,auditory,2017_Oct_25_0959,
3C.wav,0,3,1,21,R,,,,,,,,,,,,,0,20,20,20,,,,,3,0.35851818393,pu,1,003,123.89936167,2c,auditory,2017_Oct_25_0959,
4B.wav,0,1,1,22,R,,,,,,,,,,,,,0,21,21,21,,,,,None,,pu,1,003,123.89936167,2c,auditory,2017_Oct_25_0959,
1A.wav,0,2,1,23,R,,,,,,,,,,,,,0,22,22,22,,,,,3,0.275257478468,pu,1,003,123.89936167,2c,auditory,2017_Oct_25_0959,
1B.wav,0,3,1,24,R,,,,,,,,,,,,,0,23,23,23,,,,,None,,pu,1,003,123.89936167,2c,auditory,2017_Oct_25_0959,
