soundFile,word,location,repetition,trialnum,condition,trials_1.thisRepN,trials_1.thisTrialN,trials_1.thisN,trials_1.thisIndex,fam_trials_loop.thisRepN,fam_trials_loop.thisTrialN,fam_trials_loop.thisN,fam_trials_loop.thisIndex,structured_block_key_resp.keys,structured_block_key_resp.rt,random_block_key_resp.keys,random_block_key_resp.rt,starget,Run,PartID,frameRate,ttarget,expName,date,
bi.wav,0,2,1,65,R,,,,,0,52,52,52,,,None,,da,4,005,123.819070115,1C,auditory,2017_Oct_31_0958,
tu.wav,0,3,1,66,R,,,,,0,53,53,53,,,None,,da,4,005,123.819070115,1C,auditory,2017_Oct_31_0958,
pu.wav,0,1,1,67,R,,,,,0,54,54,54,,,None,,da,4,005,123.819070115,1C,auditory,2017_Oct_31_0958,
ti.wav,0,2,1,68,R,,,,,0,55,55,55,,,None,,da,4,005,123.819070115,1C,auditory,2017_Oct_31_0958,
pi.wav,0,3,1,69,R,,,,,0,56,56,56,,,None,,da,4,005,123.819070115,1C,auditory,2017_Oct_31_0958,
di.wav,0,1,1,70,R,,,,,0,57,57,57,,,None,,da,4,005,123.819070115,1C,auditory,2017_Oct_31_0958,
da.wav,0,2,1,71,R,,,,,0,58,58,58,,,None,,da,4,005,123.819070115,1C,auditory,2017_Oct_31_0958,
pi.wav,0,3,1,72,R,,,,,0,59,59,59,,,4,0.225247978,da,4,005,123.819070115,1C,auditory,2017_Oct_31_0958,
1A.wav,2,1,6,73,S,0,0,0,0,,,,,None,,,,da,4,005,123.819070115,1C,auditory,2017_Oct_31_0958,
1B.wav,2,2,6,74,S,0,1,1,1,,,,,None,,,,da,4,005,123.819070115,1C,auditory,2017_Oct_31_0958,
1C.wav,2,3,6,75,S,0,2,2,2,,,,,None,,,,da,4,005,123.819070115,1C,auditory,2017_Oct_31_0958,
3A.wav,1,1,8,76,S,0,3,3,3,,,,,4,0.308586336672,,,da,4,005,123.819070115,1C,auditory,2017_Oct_31_0958,
3B.wav,1,2,8,77,S,0,4,4,4,,,,,None,,,,da,4,005,123.819070115,1C,auditory,2017_Oct_31_0958,
3C.wav,1,3,8,78,S,0,5,5,5,,,,,None,,,,da,4,005,123.819070115,1C,auditory,2017_Oct_31_0958,
2A.wav,4,1,7,79,S,0,6,6,6,,,,,4,0.341984030092,,,da,4,005,123.819070115,1C,auditory,2017_Oct_31_0958,
2B.wav,4,2,7,80,S,0,7,7,7,,,,,None,,,,da,4,005,123.819070115,1C,auditory,2017_Oct_31_0958,
2C.wav,4,3,7,81,S,0,8,8,8,,,,,None,,,,da,4,005,123.819070115,1C,auditory,2017_Oct_31_0958,
4A.wav,3,1,7,82,S,0,9,9,9,,,,,None,,,,da,4,005,123.819070115,1C,auditory,2017_Oct_31_0958,
4B.wav,3,2,7,83,S,0,10,10,10,,,,,None,,,,da,4,005,123.819070115,1C,auditory,2017_Oct_31_0958,
4C.wav,3,3,7,84,S,0,11,11,11,,,,,4,0.358474095119,,,da,4,005,123.819070115,1C,auditory,2017_Oct_31_0958,
1A.wav,2,1,7,85,S,0,12,12,12,,,,,None,,,,da,4,005,123.819070115,1C,auditory,2017_Oct_31_0958,
1B.wav,2,2,7,86,S,0,13,13,13,,,,,None,,,,da,4,005,123.819070115,1C,auditory,2017_Oct_31_0958,
1C.wav,2,3,7,87,S,0,14,14,14,,,,,None,,,,da,4,005,123.819070115,1C,auditory,2017_Oct_31_0958,
2A.wav,4,1,8,88,S,0,15,15,15,,,,,4,0.325286321342,,,da,4,005,123.819070115,1C,auditory,2017_Oct_31_0958,
2B.wav,4,2,8,89,S,0,16,16,16,,,,,None,,,,da,4,005,123.819070115,1C,auditory,2017_Oct_31_0958,
2C.wav,4,3,8,90,S,0,17,17,17,,,,,None,,,,da,4,005,123.819070115,1C,auditory,2017_Oct_31_0958,
3A.wav,1,1,9,91,S,0,18,18,18,,,,,None,,,,da,4,005,123.819070115,1C,auditory,2017_Oct_31_0958,
3B.wav,1,2,9,92,S,0,19,19,19,,,,,None,,,,da,4,005,123.819070115,1C,auditory,2017_Oct_31_0958,
