word,location,image,repetition,trialnum,condition,l_block_trial_loop.thisRepN,l_block_trial_loop.thisTrialN,l_block_trial_loop.thisN,l_block_trial_loop.thisIndex,blank_block_trial_loop.thisRepN,blank_block_trial_loop.thisTrialN,blank_block_trial_loop.thisN,blank_block_trial_loop.thisIndex,v_block_trials.thisRepN,v_block_trials.thisTrialN,v_block_trials.thisN,v_block_trials.thisIndex,l_block_trial_key_resp.keys,l_block_trial_key_resp.rt,blank_block_trial_key_resp.keys,v_block_trial_key_resp.keys,v_block_trial_key_resp.rt,Run,vtarget,PartID,ltarget,frameRate,expName,date,
0,1,Alien4.bmp,1,43,R,,,,,,,,,0,42,42,42,,,,None,,1,3,f006,F,119.840025852,visual,2018_Jan_23_1432,
0,2,Alien1.bmp,1,44,R,,,,,,,,,0,43,43,43,,,,None,,1,3,f006,F,119.840025852,visual,2018_Jan_23_1432,
0,3,Alien10.bmp,1,45,R,,,,,,,,,0,44,44,44,,,,None,,1,3,f006,F,119.840025852,visual,2018_Jan_23_1432,
0,1,Alien7.bmp,1,46,R,,,,,,,,,0,45,45,45,,,,None,,1,3,f006,F,119.840025852,visual,2018_Jan_23_1432,
0,2,Alien7.bmp,1,47,R,,,,,,,,,0,46,46,46,,,,None,,1,3,f006,F,119.840025852,visual,2018_Jan_23_1432,
0,3,Alien9.bmp,1,48,R,,,,,,,,,0,47,47,47,,,,None,,1,3,f006,F,119.840025852,visual,2018_Jan_23_1432,
0,0,blank.png,0,0,B,,,,,,,,,0,48,48,48,,,,None,,1,3,f006,F,119.840025852,visual,2018_Jan_23_1432,
0,0,blank.png,0,0,B,,,,,,,,,0,49,49,49,,,,None,,1,3,f006,F,119.840025852,visual,2018_Jan_23_1432,
0,0,blank.png,0,0,B,,,,,,,,,0,50,50,50,,,,None,,1,3,f006,F,119.840025852,visual,2018_Jan_23_1432,
0,0,blank.png,0,0,B,,,,,,,,,0,51,51,51,,,,None,,1,3,f006,F,119.840025852,visual,2018_Jan_23_1432,
0,0,blank.png,0,0,B,,,,,,,,,0,52,52,52,,,,None,,1,3,f006,F,119.840025852,visual,2018_Jan_23_1432,
0,0,blank.png,0,0,B,,,,,,,,,0,53,53,53,,,,None,,1,3,f006,F,119.840025852,visual,2018_Jan_23_1432,
0,0,blank.png,0,0,B,,,,,,,,,0,54,54,54,,,,None,,1,3,f006,F,119.840025852,visual,2018_Jan_23_1432,
0,0,blank.png,0,0,B,,,,,,,,,0,55,55,55,,,,None,,1,3,f006,F,119.840025852,visual,2018_Jan_23_1432,
0,0,blank.png,0,0,B,,,,,,,,,0,56,56,56,,,,None,,1,3,f006,F,119.840025852,visual,2018_Jan_23_1432,
0,0,blank.png,0,0,B,,,,,,,,,0,57,57,57,,,,None,,1,3,f006,F,119.840025852,visual,2018_Jan_23_1432,
0,0,blank.png,0,0,B,,,,,,,,,0,58,58,58,,,,None,,1,3,f006,F,119.840025852,visual,2018_Jan_23_1432,
0,0,blank.png,0,0,B,,,,,,,,,0,59,59,59,,,,None,,1,3,f006,F,119.840025852,visual,2018_Jan_23_1432,
2,1,A.png,4,49,S,0,0,0,0,,,,,,,,,None,,,,,1,3,f006,F,119.840025852,visual,2018_Jan_23_1432,
2,2,J.png,4,50,S,0,1,1,1,,,,,,,,,None,,,,,1,3,f006,F,119.840025852,visual,2018_Jan_23_1432,
2,3,F.png,4,51,S,0,2,2,2,,,,,,,,,4,0.458737232373,,,,1,3,f006,F,119.840025852,visual,2018_Jan_23_1432,
3,1,D.png,5,52,S,0,3,3,3,,,,,,,,,None,,,,,1,3,f006,F,119.840025852,visual,2018_Jan_23_1432,
3,2,G.png,5,53,S,0,4,4,4,,,,,,,,,None,,,,,1,3,f006,F,119.840025852,visual,2018_Jan_23_1432,
3,3,C.png,5,54,S,0,5,5,5,,,,,,,,,None,,,,,1,3,f006,F,119.840025852,visual,2018_Jan_23_1432,
1,1,M.png,6,55,S,0,6,6,6,,,,,,,,,None,,,,,1,3,f006,F,119.840025852,visual,2018_Jan_23_1432,
1,2,K.png,6,56,S,0,7,7,7,,,,,,,,,None,,,,,1,3,f006,F,119.840025852,visual,2018_Jan_23_1432,
1,3,B.png,6,57,S,0,8,8,8,,,,,,,,,None,,,,,1,3,f006,F,119.840025852,visual,2018_Jan_23_1432,
4,1,E.png,5,58,S,0,9,9,9,,,,,,,,,None,,,,,1,3,f006,F,119.840025852,visual,2018_Jan_23_1432,
4,2,L.png,5,59,S,0,10,10,10,,,,,,,,,None,,,,,1,3,f006,F,119.840025852,visual,2018_Jan_23_1432,
4,3,H.png,5,60,S,0,11,11,11,,,,,,,,,None,,,,,1,3,f006,F,119.840025852,visual,2018_Jan_23_1432,
2,1,A.png,5,61,S,0,12,12,12,,,,,,,,,None,,,,,1,3,f006,F,119.840025852,visual,2018_Jan_23_1432,
2,2,J.png,5,62,S,0,13,13,13,,,,,,,,,None,,,,,1,3,f006,F,119.840025852,visual,2018_Jan_23_1432,
2,3,F.png,5,63,S,0,14,14,14,,,,,,,,,3,0.375422933081,,,,1,3,f006,F,119.840025852,visual,2018_Jan_23_1432,
4,1,E.png,6,64,S,0,15,15,15,,,,,,,,,None,,,,,1,3,f006,F,119.840025852,visual,2018_Jan_23_1432,
4,2,L.png,6,65,S,0,16,16,16,,,,,,,,,None,,,,,1,3,f006,F,119.840025852,visual,2018_Jan_23_1432,
4,3,H.png,6,66,S,0,17,17,17,,,,,,,,,None,,,,,1,3,f006,F,119.840025852,visual,2018_Jan_23_1432,
1,1,M.png,7,67,S,0,18,18,18,,,,,,,,,None,,,,,1,3,f006,F,119.840025852,visual,2018_Jan_23_1432,
1,2,K.png,7,68,S,0,19,19,19,,,,,,,,,None,,,,,1,3,f006,F,119.840025852,visual,2018_Jan_23_1432,
1,3,B.png,7,69,S,0,20,20,20,,,,,,,,,None,,,,,1,3,f006,F,119.840025852,visual,2018_Jan_23_1432,
3,1,D.png,6,70,S,0,21,21,21,,,,,,,,,None,,,,,1,3,f006,F,119.840025852,visual,2018_Jan_23_1432,
3,2,G.png,6,71,S,0,22,22,22,,,,,,,,,None,,,,,1,3,f006,F,119.840025852,visual,2018_Jan_23_1432,
3,3,C.png,6,72,S,0,23,23,23,,,,,,,,,None,,,,,1,3,f006,F,119.840025852,visual,2018_Jan_23_1432,
2,1,A.png,6,73,S,0,24,24,24,,,,,,,,,None,,,,,1,3,f006,F,119.840025852,visual,2018_Jan_23_1432,
2,2,J.png,6,74,S,0,25,25,25,,,,,,,,,None,,,,,1,3,f006,F,119.840025852,visual,2018_Jan_23_1432,
2,3,F.png,6,75,S,0,26,26,26,,,,,,,,,4,0.392072594725,,,,1,3,f006,F,119.840025852,visual,2018_Jan_23_1432,
1,1,M.png,8,76,S,0,27,27,27,,,,,,,,,None,,,,,1,3,f006,F,119.840025852,visual,2018_Jan_23_1432,
1,2,K.png,8,77,S,0,28,28,28,,,,,,,,,None,,,,,1,3,f006,F,119.840025852,visual,2018_Jan_23_1432,
1,3,B.png,8,78,S,0,29,29,29,,,,,,,,,None,,,,,1,3,f006,F,119.840025852,visual,2018_Jan_23_1432,
4,1,E.png,7,79,S,0,30,30,30,,,,,,,,,None,,,,,1,3,f006,F,119.840025852,visual,2018_Jan_23_1432,
4,2,L.png,7,80,S,0,31,31,31,,,,,,,,,None,,,,,1,3,f006,F,119.840025852,visual,2018_Jan_23_1432,
4,3,H.png,7,81,S,0,32,32,32,,,,,,,,,None,,,,,1,3,f006,F,119.840025852,visual,2018_Jan_23_1432,
3,1,D.png,7,82,S,0,33,33,33,,,,,,,,,None,,,,,1,3,f006,F,119.840025852,visual,2018_Jan_23_1432,
3,2,G.png,7,83,S,0,34,34,34,,,,,,,,,None,,,,,1,3,f006,F,119.840025852,visual,2018_Jan_23_1432,
3,3,C.png,7,84,S,0,35,35,35,,,,,,,,,None,,,,,1,3,f006,F,119.840025852,visual,2018_Jan_23_1432,
2,1,A.png,7,85,S,0,36,36,36,,,,,,,,,None,,,,,1,3,f006,F,119.840025852,visual,2018_Jan_23_1432,
2,2,J.png,7,86,S,0,37,37,37,,,,,,,,,None,,,,,1,3,f006,F,119.840025852,visual,2018_Jan_23_1432,
2,3,F.png,7,87,S,0,38,38,38,,,,,,,,,3,0.300191118091,,,,1,3,f006,F,119.840025852,visual,2018_Jan_23_1432,
4,1,E.png,8,88,S,0,39,39,39,,,,,,,,,None,,,,,1,3,f006,F,119.840025852,visual,2018_Jan_23_1432,
4,2,L.png,8,89,S,0,40,40,40,,,,,,,,,None,,,,,1,3,f006,F,119.840025852,visual,2018_Jan_23_1432,
