word,location,image,repetition,trialnum,condition,letter6,letter5,letter4,letter3,letter2,letter1,corrAns,l_block_trial_loop.thisRepN,l_block_trial_loop.thisTrialN,l_block_trial_loop.thisN,l_block_trial_loop.thisIndex,blank_block_trial_loop.thisRepN,blank_block_trial_loop.thisTrialN,blank_block_trial_loop.thisN,blank_block_trial_loop.thisIndex,v_block_trials.thisRepN,v_block_trials.thisTrialN,v_block_trials.thisN,v_block_trials.thisIndex,forced_test_trials.thisRepN,forced_test_trials.thisTrialN,forced_test_trials.thisN,forced_test_trials.thisIndex,l_block_trial_key_resp.keys,l_block_trial_key_resp.rt,blank_block_trial_key_resp.keys,v_block_trial_key_resp.keys,v_block_trial_key_resp.rt,question_key_resp.keys,question_key_resp.corr,question_key_resp.rt,Run,vtarget,PartID,ltarget,frameRate,expName,date,
0,2,Alien9.bmp,1,164,R,,,,,,,,,,,,,,,,0,19,19,19,,,,,,,,None,,,,,2,3,f005,F,119.990136345,visual,2018_Jan_23_1027,
0,3,Alien2.bmp,1,165,R,,,,,,,,,,,,,,,,0,20,20,20,,,,,,,,None,,,,,2,3,f005,F,119.990136345,visual,2018_Jan_23_1027,
0,1,Alien4.bmp,1,166,R,,,,,,,,,,,,,,,,0,21,21,21,,,,,,,,None,,,,,2,3,f005,F,119.990136345,visual,2018_Jan_23_1027,
0,2,Alien12.bmp,1,167,R,,,,,,,,,,,,,,,,0,22,22,22,,,,,,,,None,,,,,2,3,f005,F,119.990136345,visual,2018_Jan_23_1027,
0,3,Alien4.bmp,1,168,R,,,,,,,,,,,,,,,,0,23,23,23,,,,,,,,None,,,,,2,3,f005,F,119.990136345,visual,2018_Jan_23_1027,
0,1,Alien12.bmp,1,169,R,,,,,,,,,,,,,,,,0,24,24,24,,,,,,,,None,,,,,2,3,f005,F,119.990136345,visual,2018_Jan_23_1027,
0,2,Alien1.bmp,1,170,R,,,,,,,,,,,,,,,,0,25,25,25,,,,,,,,None,,,,,2,3,f005,F,119.990136345,visual,2018_Jan_23_1027,
0,3,Alien7.bmp,1,171,R,,,,,,,,,,,,,,,,0,26,26,26,,,,,,,,None,,,,,2,3,f005,F,119.990136345,visual,2018_Jan_23_1027,
0,1,Alien5.bmp,1,172,R,,,,,,,,,,,,,,,,0,27,27,27,,,,,,,,None,,,,,2,3,f005,F,119.990136345,visual,2018_Jan_23_1027,
0,2,Alien12.bmp,1,173,R,,,,,,,,,,,,,,,,0,28,28,28,,,,,,,,None,,,,,2,3,f005,F,119.990136345,visual,2018_Jan_23_1027,
0,3,Alien4.bmp,1,174,R,,,,,,,,,,,,,,,,0,29,29,29,,,,,,,,None,,,,,2,3,f005,F,119.990136345,visual,2018_Jan_23_1027,
0,1,Alien8.bmp,1,175,R,,,,,,,,,,,,,,,,0,30,30,30,,,,,,,,None,,,,,2,3,f005,F,119.990136345,visual,2018_Jan_23_1027,
0,2,Alien6.bmp,1,176,R,,,,,,,,,,,,,,,,0,31,31,31,,,,,,,,3,0.425322424737,,,,2,3,f005,F,119.990136345,visual,2018_Jan_23_1027,
0,3,Alien11.bmp,1,177,R,,,,,,,,,,,,,,,,0,32,32,32,,,,,,,,None,,,,,2,3,f005,F,119.990136345,visual,2018_Jan_23_1027,
0,1,Alien7.bmp,1,178,R,,,,,,,,,,,,,,,,0,33,33,33,,,,,,,,None,,,,,2,3,f005,F,119.990136345,visual,2018_Jan_23_1027,
0,2,Alien1.bmp,1,179,R,,,,,,,,,,,,,,,,0,34,34,34,,,,,,,,None,,,,,2,3,f005,F,119.990136345,visual,2018_Jan_23_1027,
0,3,Alien11.bmp,1,180,R,,,,,,,,,,,,,,,,0,35,35,35,,,,,,,,None,,,,,2,3,f005,F,119.990136345,visual,2018_Jan_23_1027,
0,1,Alien9.bmp,1,181,R,,,,,,,,,,,,,,,,0,36,36,36,,,,,,,,None,,,,,2,3,f005,F,119.990136345,visual,2018_Jan_23_1027,
0,2,Alien10.bmp,1,182,R,,,,,,,,,,,,,,,,0,37,37,37,,,,,,,,None,,,,,2,3,f005,F,119.990136345,visual,2018_Jan_23_1027,
0,3,Alien2.bmp,1,183,R,,,,,,,,,,,,,,,,0,38,38,38,,,,,,,,None,,,,,2,3,f005,F,119.990136345,visual,2018_Jan_23_1027,
0,1,Alien2.bmp,1,184,R,,,,,,,,,,,,,,,,0,39,39,39,,,,,,,,None,,,,,2,3,f005,F,119.990136345,visual,2018_Jan_23_1027,
