word,location,image,repetition,trialnum,condition,l_block_trial_loop.thisRepN,l_block_trial_loop.thisTrialN,l_block_trial_loop.thisN,l_block_trial_loop.thisIndex,v_block_trials.thisRepN,v_block_trials.thisTrialN,v_block_trials.thisN,v_block_trials.thisIndex,l_block_trial_key_resp.keys,v_block_trial_key_resp.keys,date,expName,frameRate,PartID,
0,3,Alien11.png,1,186,R,,,,,0,41,41,41,,None,2018_Feb_09_1351,lv,119.946741342,1,
0,1,Alien3.png,1,187,R,,,,,0,42,42,42,,None,2018_Feb_09_1351,lv,119.946741342,1,
0,2,Alien3.png,1,188,R,,,,,0,43,43,43,,None,2018_Feb_09_1351,lv,119.946741342,1,
0,3,Alien19.png,1,189,R,,,,,0,44,44,44,,None,2018_Feb_09_1351,lv,119.946741342,1,
0,1,Alien20.png,1,190,R,,,,,0,45,45,45,,None,2018_Feb_09_1351,lv,119.946741342,1,
0,2,Alien20.png,1,191,R,,,,,0,46,46,46,,None,2018_Feb_09_1351,lv,119.946741342,1,
0,3,Alien12.png,1,192,R,,,,,0,47,47,47,,None,2018_Feb_09_1351,lv,119.946741342,1,
0,1,Alien19.png,1,1,R,,,,,0,0,0,0,None,None,2018_Feb_09_1351,lv,119.946741342,1,
0,2,Alien24.png,1,2,R,,,,,0,1,1,1,,None,2018_Feb_09_1351,lv,119.946741342,1,
0,3,Alien23.png,1,3,R,,,,,0,2,2,2,,None,2018_Feb_09_1351,lv,119.946741342,1,
0,1,Alien12.png,1,4,R,,,,,0,3,3,3,,None,2018_Feb_09_1351,lv,119.946741342,1,
0,2,Alien24.png,1,5,R,,,,,0,4,4,4,,None,2018_Feb_09_1351,lv,119.946741342,1,
0,3,Alien3.png,1,6,R,,,,,0,5,5,5,,None,2018_Feb_09_1351,lv,119.946741342,1,
0,1,Alien5.png,1,7,R,,,,,0,6,6,6,,None,2018_Feb_09_1351,lv,119.946741342,1,
0,2,Alien11.png,1,8,R,,,,,0,7,7,7,,None,2018_Feb_09_1351,lv,119.946741342,1,
0,3,Alien8.png,1,9,R,,,,,0,8,8,8,,None,2018_Feb_09_1351,lv,119.946741342,1,
0,1,Alien3.png,1,10,R,,,,,0,9,9,9,,None,2018_Feb_09_1351,lv,119.946741342,1,
0,2,Alien12.png,1,11,R,,,,,0,10,10,10,,None,2018_Feb_09_1351,lv,119.946741342,1,
0,3,Alien20.png,1,12,R,,,,,0,11,11,11,,None,2018_Feb_09_1351,lv,119.946741342,1,
