11.0016 	WARNING 	Couldn't measure a consistent frame rate.
  - Is your graphics card set to sync to vertical blank?
  - Are you running other processes on your computer?
13.3749 	EXP 	window1: blendMode = 'avg'
13.3833 	EXP 	window1: blendMode = 'avg'
13.3916 	EXP 	window1: blendMode = 'avg'
13.3999 	EXP 	window1: blendMode = 'avg'
13.4082 	EXP 	window1: blendMode = 'avg'
13.4166 	EXP 	window1: blendMode = 'avg'
13.4249 	EXP 	window1: blendMode = 'avg'
13.4333 	EXP 	window1: blendMode = 'avg'
13.4416 	EXP 	window1: blendMode = 'avg'
13.4499 	EXP 	window1: blendMode = 'avg'
13.4584 	EXP 	window1: blendMode = 'avg'
13.4666 	EXP 	window1: blendMode = 'avg'
13.4750 	EXP 	window1: blendMode = 'avg'
13.4833 	EXP 	window1: blendMode = 'avg'
13.4916 	EXP 	window1: blendMode = 'avg'
13.5000 	EXP 	window1: blendMode = 'avg'
13.5083 	EXP 	window1: blendMode = 'avg'
13.5166 	EXP 	window1: blendMode = 'avg'
13.5250 	EXP 	window1: blendMode = 'avg'
13.5333 	EXP 	window1: blendMode = 'avg'
13.5417 	EXP 	window1: blendMode = 'avg'
13.5499 	EXP 	window1: blendMode = 'avg'
13.5583 	EXP 	window1: blendMode = 'avg'
13.5666 	EXP 	window1: blendMode = 'avg'
13.5750 	EXP 	window1: blendMode = 'avg'
13.5833 	EXP 	window1: blendMode = 'avg'
13.5917 	EXP 	window1: blendMode = 'avg'
13.5999 	EXP 	window1: blendMode = 'avg'
13.6083 	EXP 	window1: blendMode = 'avg'
13.6166 	EXP 	window1: blendMode = 'avg'
13.6250 	EXP 	window1: blendMode = 'avg'
13.6333 	EXP 	window1: blendMode = 'avg'
13.6416 	EXP 	window1: blendMode = 'avg'
13.6500 	EXP 	window1: blendMode = 'avg'
13.6583 	EXP 	window1: blendMode = 'avg'
13.6667 	EXP 	window1: blendMode = 'avg'
13.6750 	EXP 	window1: blendMode = 'avg'
13.6833 	EXP 	window1: blendMode = 'avg'
13.6917 	EXP 	window1: blendMode = 'avg'
13.7000 	EXP 	window1: blendMode = 'avg'
13.7083 	EXP 	window1: blendMode = 'avg'
13.7166 	EXP 	window1: blendMode = 'avg'
13.7250 	EXP 	window1: blendMode = 'avg'
13.7333 	EXP 	window1: blendMode = 'avg'
13.7417 	EXP 	window1: blendMode = 'avg'
13.7500 	EXP 	window1: blendMode = 'avg'
13.7583 	EXP 	window1: blendMode = 'avg'
13.7666 	EXP 	window1: blendMode = 'avg'
13.7750 	EXP 	window1: blendMode = 'avg'
13.7833 	EXP 	window1: blendMode = 'avg'
13.7917 	EXP 	window1: blendMode = 'avg'
13.8000 	EXP 	window1: blendMode = 'avg'
13.8083 	EXP 	window1: blendMode = 'avg'
13.8167 	EXP 	window1: blendMode = 'avg'
13.8250 	EXP 	window1: blendMode = 'avg'
13.8333 	EXP 	window1: blendMode = 'avg'
13.8417 	EXP 	window1: blendMode = 'avg'
13.8500 	EXP 	window1: blendMode = 'avg'
13.8583 	EXP 	window1: blendMode = 'avg'
13.8667 	EXP 	window1: blendMode = 'avg'
13.8750 	EXP 	window1: blendMode = 'avg'
13.8833 	EXP 	window1: blendMode = 'avg'
13.8917 	EXP 	window1: blendMode = 'avg'
13.9000 	EXP 	window1: blendMode = 'avg'
13.9083 	EXP 	window1: blendMode = 'avg'
13.9167 	EXP 	window1: blendMode = 'avg'
13.9250 	EXP 	window1: blendMode = 'avg'
13.9333 	EXP 	window1: blendMode = 'avg'
13.9417 	EXP 	window1: blendMode = 'avg'
13.9500 	EXP 	window1: blendMode = 'avg'
13.9585 	EXP 	window1: blendMode = 'avg'
